Source,Target,PValue
Mcm5,Rfc1,3.4264002074068582e-06
Cenpb,Sqstm1,3.43972879965714e-06
Mcm5,Tfdp1,3.549049184492243e-06
Hnrnpa1,Smarca5,3.5856314947533927e-06
Prpf38b,Zfp263,3.5937772519273668e-06
Ncapd2,Mxd3,3.628450512259093e-06
Larp7,Fubp3,3.7638127485669504e-06
Dnaja3,Thra,4.036939672053083e-06
Rpl22,Cnbp,4.318591064617061e-06
Cdca7,Mybl2,4.3568792332244384e-06
Mcm3,Pcna,4.503851838469825e-06
Ruvbl2,Itm2b,4.658925312780195e-06
Frg1,Zfp384,4.987022546227346e-06
Rpa2,Sap30,5.006548788950604e-06
Echs1,Hes6,5.242783209990846e-06
Rfwd3,Top2a,5.26136180940979e-06
Nr3c2,Tmed1,5.339652647238141e-06
Ncapd2,Pcna,5.436529914186645e-06
Creg1,Top2a,5.660257889886116e-06
Irx5,Myl4,5.710974534743037e-06
Mcm6,Klf9,5.8284329082746076e-06
Prim1,Set,6.065062477677405e-06
Rfc5,Set,6.065062477677405e-06
Kifc5b,Rbbp8,6.0976529079920285e-06
Top2a,Cdk2,6.398649012926824e-06
Prim1,Tfdp1,6.418704633161356e-06
Rfc5,Tfdp1,6.418704633161356e-06
Mcm6,Top2a,6.524115944627897e-06
Mcm7,E2f1,6.593147975009034e-06
Mcm5,Klf9,6.712507113174616e-06
Trim28,Tubb5,6.8294577092961865e-06
Thoc1,Hspa4,6.837142668795215e-06
Mcm5,Foxm1,6.95173183024274e-06
Tacc3,Top2a,6.9534807464399504e-06
Snrpa1,Set,7.103287008641787e-06
Trim28,Uba2,7.902204251488915e-06
Rcc2,Hnrnpab,7.913511684647864e-06
Polr2b,Cnbp,8.005857779142785e-06
Hltf,Helb,8.292170201155437e-06
Snrpa1,Sfpq,8.345937981152065e-06
Vrk1,Tmpo,8.573029175417003e-06
Prim1,Sfpq,8.68609148120333e-06
Nup43,Uhrf1,8.71208397150504e-06
Cbfb,Tab2,8.846824769010978e-06
Slc38a4,Klf4,8.903764910129405e-06
Arid1a,Cnot3,8.924334616243528e-06
Mak16,Pa2g4,8.929838566078938e-06
Uba2,Kdm1a,9.287457761646481e-06
Cox6a2,E2f3,9.765966524266885e-06
Foxm1,Incenp,1.0026949061629341e-05
Prim1,Uhrf1,1.0299419669821075e-05
Rfc5,Uhrf1,1.0299419669821075e-05
H2-Aa,Ciita,1.031921938886412e-05
Fos,Jun,1.0603559345976361e-05
Uba2,Sfpq,1.071912861221683e-05
Snrpe,Smarca5,1.1087280631803264e-05
