0,1,2
397,Top2a,ENSMUSG00000020914
398,Topors,ENSMUSG00000036822
399,Trim16,ENSMUSG00000047821
400,Trim27,ENSMUSG00000021326
401,Trim28,ENSMUSG00000005566
402,Trim30a,ENSMUSG00000030921
403,Trp53,ENSMUSG00000059552
404,Tshz1,ENSMUSG00000046982
405,Twist1,ENSMUSG00000035799
406,Ubp1,ENSMUSG00000009741
407,Uhrf1,ENSMUSG00000001228
408,Usf1,ENSMUSG00000026641
409,Usf2,ENSMUSG00000058239
410,Vps72,ENSMUSG00000008958
411,Xbp1,ENSMUSG00000020484
412,Yap1,ENSMUSG00000053110
413,Ybx1,ENSMUSG00000028639
414,Ybx2,ENSMUSG00000018554
415,Yy1,ENSMUSG00000021264
416,Zbtb16,ENSMUSG00000066687
417,Zbtb20,ENSMUSG00000022708
418,Zbtb22,ENSMUSG00000051390
419,Zbtb42,ENSMUSG00000037638
420,Zbtb7a,ENSMUSG00000035011
421,Zbtb7b,ENSMUSG00000028042
422,Zc3h8,ENSMUSG00000027387
423,Zeb1,ENSMUSG00000024238
424,Zeb2,ENSMUSG00000026872
425,Zfp110,ENSMUSG00000058638
426,Zfp120,ENSMUSG00000068134
427,Zfp148,ENSMUSG00000022811
428,Zfp217,ENSMUSG00000052056
429,Zfp260,ENSMUSG00000049421
430,Zfp263,ENSMUSG00000022529
431,Zfp281,ENSMUSG00000041483
432,Zfp35,ENSMUSG00000063281
433,Zfp354c,ENSMUSG00000044807
434,Zfp36,ENSMUSG00000044786
435,Zfp384,ENSMUSG00000038346
436,Zfp395,ENSMUSG00000034522
437,Zfp422,ENSMUSG00000059878
438,Zfp46,ENSMUSG00000051351
439,Zfp511,ENSMUSG00000025470
440,Zfp513,ENSMUSG00000043059
441,Zfp516,ENSMUSG00000058881
442,Zfp692,ENSMUSG00000037243
443,Zfp697,ENSMUSG00000050064
444,Zfp710,ENSMUSG00000048897
445,Zfp768,ENSMUSG00000047371
446,Zfp771,ENSMUSG00000054716
447,Zfpm1,ENSMUSG00000049577
448,Zfx,ENSMUSG00000079509
449,Zhx1,ENSMUSG00000022361
450,Zkscan17,ENSMUSG00000020472
451,Zkscan3,ENSMUSG00000021327
452,0610009B22Rik,ENSMUSG00000007777
453,0610012G03Rik,ENSMUSG00000107002
454,1110002E22Rik,ENSMUSG00000090066
455,1110008F13Rik,ENSMUSG00000027637
456,1110008P14Rik,ENSMUSG00000039195
457,1110034G24Rik,ENSMUSG00000044991
458,1110038B12Rik,ENSMUSG00000092203
459,1110065P20Rik,ENSMUSG00000078570
460,1700017B05Rik,ENSMUSG00000032300
461,1700021F05Rik,ENSMUSG00000019797
462,1700123O20Rik,ENSMUSG00000040822
463,1810037I17Rik,ENSMUSG00000054091
464,1810055G02Rik,ENSMUSG00000035372
465,2010107E04Rik,ENSMUSG00000021290
466,2200002D01Rik,ENSMUSG00000030587
467,2210016F16Rik,ENSMUSG00000021550
468,2210407C18Rik,ENSMUSG00000037145
469,2310002L09Rik,ENSMUSG00000028396
470,2310010J17Rik,ENSMUSG00000097162
471,2310011J03Rik,ENSMUSG00000020133
472,2310022A10Rik,ENSMUSG00000049643
473,2310040G24Rik,ENSMUSG00000101655
474,2310061I04Rik,ENSMUSG00000050705
475,2410002F23Rik,ENSMUSG00000045411
476,2410004B18Rik,ENSMUSG00000036873
477,2510009E07Rik,ENSMUSG00000043391
478,2510039O18Rik,ENSMUSG00000044496
479,2610001J05Rik,ENSMUSG00000052419
480,2610507B11Rik,ENSMUSG00000010277
481,2610524H06Rik,ENSMUSG00000092486
482,2700062C07Rik,ENSMUSG00000024273
483,2700081O15Rik,ENSMUSG00000053080
484,2810004N23Rik,ENSMUSG00000031984
