GeneSymbol,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13
Zfp354a,0.62430173,0.17642511,0.62362903,0.15611228,0.62398064,0.16673133,0.6236292,0.15611231,0.6236293,0.15611227,0.6236292,0.1561123,0.62362915,0.15611231
Zfp354c,0.7346865,0.10139424,0.7103066,-0.36607152,0.7155541,-0.31119576,0.71262234,-0.36875197,0.7164924,-0.32548445,0.7142663,-0.33308554,0.69118,-0.24138235
Zfp36,0.7784029,0.1495339,0.7693645,-0.29836866,0.7799138,-0.03778819,0.7708839,-0.31418517,0.774768,-0.32173967,0.76816404,-0.31544814,0.7701591,-0.28683546
Zfp367,0.6995373,0.19260614,0.6995374,0.19260617,0.6671718,-0.020700693,0.66717166,-0.020700686,0.6671717,-0.020700697,0.6671717,-0.02070066,0.6995374,0.19260615
Zfp369,0.9081646,0.25936866,0.86515594,-0.047202446,0.86515605,-0.047202453,0.86515605,-0.047202446,0.8651562,-0.047202453,0.86515594,-0.047202453,0.8636564,0.0045502856
Zfp37,0.9740863,0.379037,0.97743416,0.48015165,0.97743404,0.4801516,0.9780847,0.4997969,0.9780847,0.49979696,0.9780847,0.49979696,0.9780847,0.49979696
Zfp384,0.7473303,-0.045421213,0.7563063,-0.41943714,0.7445291,-0.3048207,0.75630593,-0.41943714,0.7445289,-0.30482072,0.7445289,-0.30482066,0.73596454,-0.08235573
Zfp386,0.27636307,0.04569269,0.27636307,0.04569269,0.27636307,0.045692682,0.27636307,0.045692705,0.27636307,0.045692697,0.27636307,0.045692705,0.27636307,0.045692727
Zfp39,0.26907414,0.03759723,0.26907414,0.03759724,0.2690742,0.037597172,0.26907414,0.03759721,0.26907414,0.037597194,0.27102166,0.096417144,0.26907414,0.037597217
Zfp395,0.19886228,-0.14416662,0.19703043,0.10435093,0.1970304,0.10435092,0.19703043,0.10435097,0.19703043,0.10435092,0.19703037,0.104350954,0.19703045,0.104350924
Zfp41,0.4459991,0.070118815,0.4356622,-0.08856514,0.4418847,-0.031084135,0.43585223,-0.0881267,0.44031125,-0.08390243,0.44117945,-0.052382775,0.4180931,-0.051914886
Zfp410,0.089363396,-0.37689462,0.38657415,0.05738741,0.38657415,0.057387426,0.38657415,0.05738741,0.38657415,0.05738741,0.3865742,0.05738741,0.38657415,0.05738741
Zfp422,0.65502846,-0.32914943,0.5769451,-1.1311394,0.58785206,-0.8962625,0.5887501,-1.1256281,0.5898729,-1.0774294,0.57978487,-1.0443966,0.5903079,-0.8868588
Zfp423,0.7129662,-1.2041129,1.0614398,-0.30811197,0.96301985,-0.17652327,1.1096892,0.1156193,1.167822,0.545935,1.1678219,0.5459351,1.167822,0.5459352
Zfp445,0.049944222,0.08114154,0.049944222,0.08114155,0.049944222,0.08114155,0.049944222,0.08114155,0.049944222,0.08114154,0.049944222,0.08114154,0.049944222,0.08114154
Zfp451,0.7158085,-0.1243339,0.66086507,-0.94751817,0.67096233,-0.6714428,0.66772914,-0.9391229,0.66728246,-0.90656984,0.6604755,-0.9090699,0.6596333,-0.80251443
