Gene,6H,12H,18H,24H,48H
Tex35,22.435,23.41,25.18333333,25.67666667,24.56333333
Sucnr1,14.625,15.54,19.45333333,15.41,15.79666667
Flywch1,168.07,215.59,189.0366667,171.0466667,193.3533333
Zbtb37,20.325,29.05,20.77333333,24.18333333,24.16666667
Dnal1,18.36,16.52,16.50333333,15.76666667,11.94333333
Ttc29,7.9,8.023333333,8.723333333,9.146666667,7.58
Angptl6,27.41,31.15,32.02666667,26.84333333,27.76333333
Retnlb,24.825,22.36,23.26333333,24.29,24.67666667
Trim51,18.415,17.74666667,18.80333333,17.29333333,17.49666667
Fut10,49.145,46.77,43.09,46,40.53
Crls1,1585.485,1355.04,1459.293333,1114.89,1022.113333
C19Orf12,503.915,411.4933333,486.0066667,356.6133333,350.31
Fsd1L,27.045,28.36666667,24.03,27.12333333,38.66666667
Chrdl2,25.47,23.20333333,24.65333333,21.34666667,25.88333333
C4Orf17,19.18,19.98,19.33,20.01333333,20.18333333
Mrpl30,837.425,869.1533333,824.7566667,943.4866667,990.86
Ttll2,10.645,12.47666667,11.14666667,11.08333333,11.21
C2Orf16,55.865,57.7,64.57333333,56.77333333,71.97
Linc02882,11.43,12.48,14.47,12.09333333,11.15
Anapc11,33.74,33.62,33.89333333,39.85333333,41.88333333
Sox7,17.055,14.90333333,21.44,19.98333333,23.75
Mrps25,158.68,163.7533333,184.9733333,205.15,257.31
Tbx22,7.485,6.94,7.333333333,6.846666667,7.526666667
Linc00626,11.545,10.86,11.31333333,10.89666667,10.84333333
Rp1,8.965,8.71,10.23,8.163333333,9.443333333
Brk1,87.135,76.45,87.18333333,70.21,83.27666667
Ccl28,11.5,12.11333333,12.39,11.62333333,21.65
Fam186B,26.72,30.53666667,26.51666667,29.94,31.98
Ttty5,15.315,17.18,17.43666667,15.66333333,17.95
Usp44,10.85,9.796666667,10.37666667,10.71666667,10.06666667
Kcnk17,18.155,20.28,18.16,17.60666667,19.59
Slc4A9,22.05,21.21333333,19.95333333,21.70333333,22.57666667
Hsd17B7P2,14.43,16.15,15.65666667,14.80333333,16.26333333
Numbl,93.25,94.88333333,94.25333333,87.90333333,95.72666667
Inmt,28.015,32.45666667,31,29.43666667,30.67333333
Nln,12.26,15.39,11.99,12.46,10.34
Akr1C6P,25,27.80333333,28.56666667,29.55333333,29.13333333
Il20,14.375,14.52333333,13.07666667,16.21666667,14.65
Kcnk9,27.6,30.33,23.95666667,24.6,28.83666667
Linc01521,18.29,16.85666667,15.44666667,16.00333333,16
Mfsd14Cp,559.67,471.84,500.5733333,510.3433333,444.6633333
Il17C,94.325,97.59333333,89.41666667,83.15,93.36666667
Nmur2,37.605,35.28,33.93333333,34.38333333,39.28
Barhl1,104.215,96.90666667,91.5,101.14,103.8566667
Ifnk,7.275,7.716666667,6.873333333,7.586666667,7.7
Mir4755,53.785,54.34333333,50.08333333,47.36666667,62.09
P2Ry12,8.285,8.91,8.23,10.27,9.88
Pro1804,7.865,7.663333333,7.153333333,7.193333333,7.036666667
Klf16,146.795,147.9533333,171.0566667,146.5433333,147.19
Loc284912,42.27,41.65,41.31333333,42.59666667,42.86
Zbtb46-As1,31.085,39.16,37.16666667,49.05,32.36333333
Loc84214,12.155,11.86333333,12.57,13.81,12.70333333
Zranb3,12.17,13.14333333,11.30666667,11.53666667,13.03
Plekhn1,86.365,95.45,87.74,94.15,90.83
Dpy30,1270.85,1155.526667,1416.693333,1372.466667,1621.6
Sra1,666.05,728.8933333,780.9633333,868.6166667,929.2733333
Hcar1,10.545,11.34666667,9.826666667,11.91,10.89666667
Wdr87,31.525,29.05,32.76333333,32.64,33.88666667
Cacng7,13.14,13.60333333,14.45333333,13.69,15.91666667
Shank2-As3,26.75,27.92333333,28.29,31.21333333,28.71
Gcc2-As1,46.985,41.63333333,46.71666667,50.56,54.84333333
Ak3,208.03,173.04,237.2,184.1266667,220.9933333
Dhrs4-As1,12.065,11.05333333,11.79666667,11.33,9.786666667
Kaag1,27.055,26.55666667,27.95333333,25.71333333,27.39666667
Acad9,640.415,639.2666667,615.2466667,691.9966667,478.8266667
Dmap1,720.305,674.3366667,728.8333333,593.0133333,554.5066667
Slc25A2,22.5,20.22666667,21.71666667,20.05333333,21.98333333
Spz1,9.87,9.01,9.386666667,8.523333333,9.61
Npffr2,79.35,52.84666667,48.77333333,49.92,43.17333333
Ttty11,30.825,33.31666667,31.91,31.88333333,34.98
Miox,21.265,18.99666667,19.87333333,22.04,23.67333333
Wdpcp,42.28,42.84,37.34666667,43.06333333,39.59
Boc,77.265,80.62,81.05666667,74.09333333,94.69666667
Ropn1,11.795,12.71666667,12.12666667,12.30666667,13.79666667
Ttty12,10.46,9.873333333,11.85,10.84333333,10.47666667
Cela1,41.5,39.66333333,35.88,38.97333333,36.00333333
Dll1,9.42,9.376666667,8.84,11.15,9.31
Bdp1,37.86,29.80333333,31.98666667,40.12333333,35.58333333
Prdm7,15.145,13.9,14.62333333,13.07,15.49
Il36B,10.095,10.23333333,10.11333333,10.74333333,10.84333333
Galp,7.795,8.573333333,7.286666667,7.746666667,8.303333333
