GeneSymbol,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13
Tnfaip8,0.03576395,0.0005240254,0.023007184,0.12513264,0.023007214,0.12513262,0.023007214,0.12513262,0.023007184,0.12513262,0.023007214,0.12513264,0.023007214,0.12513264
Tnfrsf12a,0.10799062,-0.5964173,0.16393074,-0.12425026,0.15265024,-0.014061961,0.14082068,0.10100047,0.14082068,0.1010005,0.14082068,0.10100041,0.14082065,0.10100044
Tnfrsf19,0.11369544,-0.07385666,0.12442589,0.0934577,0.12442589,0.09345771,0.12442589,0.0934577,0.12442589,0.0934577,0.12442589,0.09345771,0.12442592,0.093457684
Tnfrsf1a,-0.021163523,-0.017509628,-0.0111605525,-0.0049476177,0.009402037,-0.085243724,0.0094020665,-0.08524369,0.003039062,-0.023089845,0.003039062,-0.023089804,-0.009015143,0.094656244
Tnfrsf1b,0.21798119,0.035961498,0.19615862,0.14255108,0.190698,0.21844925,0.2033987,0.06137125,0.21698168,0.03880727,0.20339867,0.061371263,0.20749429,0.13148096
Tnik,-0.023593515,0.042387407,-0.028505355,0.09036587,-0.028505296,0.09036593,-0.028505325,0.09036589,-0.028505325,0.09036587,-0.028505325,0.09036592,-0.028505325,0.09036587
Tnip1,0.18201184,-0.07532269,0.16069496,0.08034964,0.18119478,-0.0070168003,0.18410209,-0.07585287,0.19623858,-0.059538502,0.1796028,-0.031903386,0.17609525,0.13722214
Tnk1,0.3245145,0.30882743,0.3245145,0.30882743,0.3303088,0.25222912,0.33030874,0.25222912,0.3303088,0.25222918,0.33030874,0.25222912,0.32451457,0.30882746
Tnks,-0.0008957386,0.110631645,-0.0008957386,0.110631645,-0.0008957386,0.110631645,-0.0008957386,0.11063166,-0.0008957386,0.110631645,-0.0008957386,0.11063166,-0.0008957386,0.110631645
Tnks1bp1,0.08870074,0.16564533,0.12778273,-0.21610971,0.10735166,-0.016537983,0.12778276,-0.21610977,0.12778276,-0.21610972,0.12778276,-0.2161097,0.12778273,-0.21610975
Tnks2,-0.050588414,0.09234877,-0.033738658,-0.044768114,-0.033738673,-0.044768076,-0.033434138,-0.04107242,-0.033434138,-0.04107241,-0.033738673,-0.0447681,-0.026977465,-0.106653854
Tnmd,-0.042598963,0.03803009,-0.030120015,0.09295653,-0.030119985,0.09295657,-0.030119985,0.0929566,-0.030120015,0.09295654,-0.030120015,0.09295654,-0.030119985,0.09295656
Tnnc1,0.09844351,0.06378354,0.11033389,0.036126982,0.10340637,0.10379507,0.1034064,0.103795126,0.10340637,0.10379507,0.10340637,0.10379507,0.10340643,0.10379514
Tnni3,0.23798549,0.2560179,0.23798549,0.2560179,0.23798549,0.25601783,0.23798555,0.25601786,0.23798549,0.25601783,0.23798549,0.2560179,0.23798549,0.25601786
Tnnt2,-0.027392492,0.035168152,-0.01282984,0.0012959354,-0.021314263,0.08417207,-0.021314263,0.084172115,-0.021314263,0.08417207,-0.021314263,0.08417207,-0.021314204,0.08417216
Tnpo2,0.028542101,0.12903741,0.028542042,0.12903737,0.028542101,0.1290374,0.028542101,0.1290374,0.028542101,0.1290374,0.028542101,0.1290374,0.028542072,0.12903738
Tnpo3,-0.06939703,0.07347429,-0.057868257,-0.020342547,-0.057868257,-0.020342547,-0.057659894,-0.017813943,-0.057659864,-0.017813928,-0.057868257,-0.020342555,-0.057685018,-0.019287262
Tnrc6a,0.07321966,-0.057431616,0.06776923,-0.03545067,0.07756221,-0.11101364,0.07756224,-0.111013666,0.07690668,-0.10461028,0.07690668,-0.104610324,0.0640741,-0.14545314
Tnrc6b,-0.017493755,0.10066335,-0.017493784,0.10066332,-0.017493784,0.100663334,-0.017493784,0.10066335,-0.017493784,0.100663334,-0.017493784,0.100663334,-0.017493784,0.10066335
Tnrc6c,-0.0351526,0.08534132,-0.025650352,-0.0074769333,-0.025650382,-0.0074769296,-0.025650352,-0.0074769706,-0.025650352,-0.0074769706,-0.025650382,-0.007476952,-0.027911946,0.014614407
Tns1,0.09458247,0.14357518,0.09458247,0.14357515,0.09458247,0.14357512,0.0945825,0.14357518,0.0945825,0.14357512,0.0945825,0.14357515,0.0945825,0.14357515
Toe1,0.12044501,0.07076888,0.120339364,-0.009941954,0.1352244,-0.058486104,0.12348586,-0.03610771,0.13061112,-0.008852918,0.13228646,-0.029788313,0.13882086,-0.09683035
Tom1l1,-0.020277351,0.09830339,-0.020277321,0.09830344,-0.020277321,0.09830342,-0.020277321,0.09830342,-0.020277321,0.09830342,-0.020277321,0.09830342,-0.020277321,0.09830344
Tomm20,0.099419355,0.03911953,0.11341098,-0.10201901,0.10716814,-0.0410387,0.11470926,-0.11170957,0.11354756,-0.100361645,0.11133093,-0.08170081,0.10978073,-0.12522501
Tomm34,-0.029073924,-0.00057401136,-0.027181298,-0.06821826,-0.012594193,-0.1378803,-0.012594163,-0.13788033,-0.019120663,-0.074129455,-0.012594163,-0.13788031,-0.023883581,-0.113262534
