GeneSymbol,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9
Foxp2,-0.37190583,-0.6874676,0.2335937,-0.27323988,0.5211853,-0.394302,0.3670078,-0.30209994,0.40496147,0.1527912
Foxp3,-0.11412119,-1.7585905,-0.28464493,0.3014145,0.05853533,-0.33849043,-0.25188735,0.16018678,-0.053270534,-0.06623505
Foxq1,-0.17676306,0.12519859,-0.49007154,-0.38823485,0.020053864,0.030312713,-0.020593517,-1.0295212,-0.095875226,0.22410755
Gabpa,0.5393134,0.43316355,0.90040904,0.14274272,-0.3082167,-0.47512555,0.68336785,0.22858241,0.26289862,-0.82128286
Gata1,-0.17757753,-0.14866038,-0.48798615,-0.12070586,-0.09758518,0.1422938,-0.22871691,0.18255769,0.004741326,0.5153709
Gata2,-1.2876161,-0.00837161,-0.65177256,0.21463247,-0.532395,0.19349708,-1.0024198,0.2711525,-0.64327395,0.12678646
Gata3,-0.6890086,-0.40186578,-0.5621829,-0.18492968,-0.25441295,0.11329287,-0.094272636,0.5212859,-0.3101653,0.5184108
Gata4,-0.05480548,0.0030161254,0.15045758,-0.6745842,0.47173786,0.028566848,0.38995832,-0.9583506,0.60353696,0.32627264
Gata6,0.3165222,0.6602286,-0.5880964,-0.31687596,-0.060752712,0.15692075,-0.2772373,-0.55951744,-0.10028144,0.23181714
Gbx1,-0.20387897,0.4019091,-0.28603166,0.20633724,-0.22701555,0.7762661,-0.39491832,0.15443873,-0.51320404,0.32120502
Gcm1,-0.32095528,0.04883675,0.013405412,-0.40829322,-0.32095528,0.04883675,-0.32095528,0.04883675,-0.32095528,0.04883675
Gli1,-0.38125098,0.27107897,-0.2088356,-0.20323724,-0.13829556,-0.13703467,-0.45921683,0.053351346,-0.84183705,-0.20961396
Gli2,-0.9641137,-0.36739486,-0.20604026,-0.06669526,-0.13815579,-0.018575054,-0.76682985,0.100608364,-0.4800387,-0.110523775
Glis2,0.0140178725,-0.001004409,0.13933206,-0.8957442,0.5417953,0.7251112,0.014268972,0.046819445,-0.3104401,-0.12592609
Glis3,-0.22170573,0.8682976,-0.8040964,-1.063589,0.31737438,0.15688957,-0.21873277,-1.3294976,0.9039161,1.0431387
Gmeb1,0.50791055,0.18045856,0.73148626,0.13453305,0.26341754,-0.3865366,0.6758376,0.31740573,0.1618891,-0.07310559
Gmeb2,-0.1150892,0.3629706,-0.4762603,-1.019522,0.023521163,0.3702589,-0.040199958,-1.0411576,0.1418274,0.17540945
Gsc,-0.6796787,-0.25720623,-0.023611799,0.19506879,-0.51817274,-0.0010291748,0.03182953,0.38683963,0.03206712,-0.23145492
Gsx2,-0.4090056,0.033630017,-0.16085768,-0.42873406,-0.54767364,-0.72726136,-0.2599217,-0.2167443,0.1188953,-0.043931294
Gtf2F1,0.54229105,-0.120743826,1.0166792,-0.12930225,0.8157302,-0.22566955,0.9760649,-0.15094459,0.94699776,0.27600807
Gtf2Ird1,-0.1697121,-0.46350664,-0.10971039,0.52838945,-0.09911039,-0.7726897,-0.2507031,0.21468611,-0.22940871,0.22616982
Gtf3A,0.33865407,-0.14411105,0.86149687,0.18579654,0.7054058,-0.4480064,1.0747039,0.4612224,0.5106563,0.108883426
Hand1,0.23154223,0.46621966,0.0940133,-0.23743169,0.2923454,0.32547033,0.25174922,-0.07543415,0.29967123,0.34692514
Hcfc1,0.56644785,0.08739506,0.9856265,0.083077475,0.7597531,-0.03518908,0.8852819,0.10447526,0.7122717,0.5419443
Hdac1,0.40561908,-0.28890276,0.7176642,-0.14256527,0.53829396,0.034221854,0.61935204,-0.2477556,0.09448555,-0.50973415
Hes7,-0.31863824,0.005427981,-0.31863824,0.005427981,-0.31863824,0.005427981,-1.459194,0.35937563,-1.459194,0.35937563
Hic2,0.18410605,0.34853995,0.04765979,-0.6618049,0.47247472,0.1530373,0.22186226,-0.42093542,-0.04430034,-0.2870585
Hinfp,0.5425811,0.28646514,0.09170963,-0.8282056,-0.0954685,-0.30395377,0.39812183,-0.3592528,-0.23036474,-0.39902607
Hivep2,0.23277974,0.32882762,0.15439652,-0.8398197,0.60079896,0.39119235,0.41014725,-0.93413335,0.3208023,0.8602671
Hivep3,0.25977874,0.40502265,0.18919325,-0.13425456,-0.14312163,0.3072145,0.6799634,0.35480386,-0.011585891,0.52067757
Hlf,-0.009922914,0.06654793,-0.25858065,-0.5137216,0.4829406,0.054270726,0.30461663,-0.4859231,0.5143565,0.80714643
Hltf,0.031632878,0.6562171,-0.006178662,0.532835,0.031632878,0.6562171,-0.092014365,0.5959672,-0.3922953,-0.0571176
Hlx,-0.7267212,0.091482684,-0.7730307,-0.059628967,-0.7267212,0.091482684,-0.18877369,0.0855598,-0.38240516,-0.5197524
Hmx1,-0.22997534,0.41055554,-0.2384204,0.23173442,-0.029720642,0.8630684,-0.07994229,0.2715525,-0.1897172,0.8680882
Hmx2,0.05463634,-0.089968115,-0.2995559,-0.153553,0.34490028,0.04730511,-0.38492078,-0.8959857,0.22438854,-0.011695128
Hnf1A,-0.051216938,-0.04922,-0.421272,-0.28818756,0.042748407,0.2819401,0.020435043,-0.18641753,-0.13830435,0.54599434
Hnf1B,0.758165,0.113429606,-0.10740275,0.30212513,0.19121568,-0.71444887,-0.37529153,-0.5091714,-0.35701486,-0.4359255
Hnf4A,-0.067674406,-0.3658767,-0.2500176,0.16863097,0.036752116,0.9581127,-0.024012275,0.09720449,0.13308594,-0.08850971
Hnf4G,0.47579044,-0.15779793,0.47579044,-0.15779793,-1.459194,0.35937563,-0.66000044,0.15565498,-0.66000044,0.15565498
