0,1,2,3,4,5,6,7,8,9,10,11,12,13
-0.7977934,-0.44804096,-0.8164791,-0.49201953,-0.8174082,-0.49188268,-0.8203403,-0.5090188,-0.81002796,-0.48425633,-0.805691,-0.46654803,-0.81796885,-0.5011118
-0.7658963,-0.5192862,-0.77340114,-0.52161133,-0.773401,-0.5216113,-0.77310395,-0.5270057,-0.7731042,-0.52700555,-0.77340126,-0.52161133,-0.77141285,-0.52405936
-0.267491,0.07335323,-0.26910093,0.07152083,-0.27099887,0.07180031,-0.2678211,0.07219426,-0.26971897,0.07247379,-0.27099892,0.071800336,-0.2687938,0.07283468
0.077340245,0.15377659,0.077340245,0.15377657,0.077340245,0.15377657,0.077340245,0.15377659,0.077340245,0.15377657,0.077340245,0.15377657,0.077340245,0.15377657
-0.43118432,0.12444926,-0.43118426,0.12444925,-0.43118426,0.12444925,-0.43118432,0.124449246,-0.43118432,0.12444926,-0.43118432,0.12444925,-0.43118432,0.12444925
-0.24422523,-0.07711227,-0.24422523,-0.07711227,-0.24422523,-0.07711226,-0.2442253,-0.07711229,-0.24422523,-0.07711227,-0.2442253,-0.07711233,-0.24422517,-0.07711221
-0.95490944,-0.5213535,-0.9678955,-0.4376582,-0.9721223,-0.4370358,-0.9721222,-0.4370358,-0.9721223,-0.43703574,-0.9721223,-0.4370358,-0.97212183,-0.4370358
-0.30264232,0.10512376,-0.30264238,0.10512375,-0.30264232,0.10512376,-0.30264232,0.10512376,-0.30264232,0.10512376,-0.30264238,0.10512375,-0.30264238,0.10512374
-0.15537375,0.11774627,-0.15537375,0.11774627,-0.15537375,0.11774627,-0.15537375,0.11774627,-0.15537375,0.11774627,-0.15537375,0.11774627,-0.15537375,0.11774627
-0.27315834,0.09248036,-0.27315834,0.09248036,-0.27315834,0.09248036,-0.27315834,0.09248036,-0.27315834,0.09248036,-0.27315834,0.09248036,-0.27315834,0.09248036
-0.8807987,-0.43817914,-0.91725504,-0.45336157,-0.91725504,-0.45336163,-0.90960574,-0.4639964,-0.9096061,-0.46399647,-0.9172553,-0.45336157,-0.89908624,-0.4494472
-0.9688678,-0.40737426,-0.958454,-0.41936785,-0.95845413,-0.4193678,-0.95578194,-0.41983908,-0.95578194,-0.41983902,-0.95845413,-0.41936785,-0.9534141,-0.41603053
-0.30430636,0.02285651,-0.30358532,0.019895932,-0.30358532,0.019895948,-0.30358526,0.01989593,-0.30358526,0.019895907,-0.30358532,0.019895894,-0.30358532,0.01989593
-1.2663964,-0.2544155,-1.1669009,0.10144394,-1.1590335,0.09873191,-1.1590335,0.09873191,-1.1674807,0.099975824,-1.1590335,0.09873189,-1.167481,0.09997584
-0.6067654,-0.5436054,-0.6067654,-0.54360545,-0.6067654,-0.5436053,-0.6067654,-0.5436054,-0.6067653,-0.54360545,-0.6067654,-0.5436053,-0.6067654,-0.5436053
-1.2676295,0.0766948,-1.2676295,0.0766948,-1.2676295,0.0766948,-1.2676295,0.076694794,-1.2676295,0.076694794,-1.2676295,0.076694794,-1.2676295,0.076694794
