GeneSymbol,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13
Dnajc2,0.95643103,-0.004260339,0.9322978,0.16897297,0.92722523,0.17592013,0.93677187,0.16652578,0.93677175,0.16652584,0.9322978,0.168973,0.95719707,0.09164018
Dnmt1,1.2103604,0.24237883,1.2103606,0.24237886,1.2103606,0.2423788,1.2103604,0.2423788,1.2103604,0.24237883,1.2103604,0.24237889,1.2103606,0.24237886
Dnmt3a,0.12909245,0.06978797,0.116330326,0.16742903,0.116330326,0.16742903,0.12163019,0.17310634,0.12163019,0.17310631,0.116330326,0.167429,0.12810498,0.13078508
Dnmt3b,1.2797962,0.38694558,1.247732,0.618107,1.2426536,0.6250625,1.2297648,0.6798556,1.2556857,0.6197135,1.2477322,0.61810714,1.3099725,0.4670404
Dr1,0.06219977,0.13847828,0.0621998,0.13847825,0.06219983,0.13847825,0.0621998,0.13847825,0.0621998,0.13847828,0.06219977,0.13847828,0.0621998,0.13847828
Drap1,0.82159233,0.34127653,0.86099994,0.2704229,0.833038,0.32848403,0.7548313,0.48759243,0.8481772,0.297979,0.85720885,0.28219688,0.83562326,0.3239648
E2f1,1.5023253,0.8711956,1.4864941,1.1180907,1.4726288,1.1370795,1.4203218,1.2506709,1.4268007,1.2381924,1.4284197,1.2099806,1.5000099,1.0512319
E2f2,0.6135374,0.6477132,0.6104393,0.6563048,0.61043936,0.6563049,0.61055154,0.65619427,0.5243938,0.8216011,0.6127304,0.64950067,0.612563,0.6492217
E2f3,1.1646066,0.7232907,1.259904,0.68846226,1.2390825,0.716978,1.0902987,0.9593561,1.104706,0.92751473,1.120353,0.8943011,1.2551315,0.68669975
E2f4,0.3732043,-0.054605618,0.37320435,-0.054605618,0.3732043,-0.054605603,0.20357937,0.2805823,0.3732043,-0.054605603,0.35288835,-0.026781999,0.37320435,-0.054605626
E2f5,-0.03210348,0.3687509,0.04125306,0.1522592,0.04125306,0.1522592,0.04125309,0.15225923,0.04125309,0.15225923,0.04125309,0.15225923,-0.03210348,0.3687509
E2f6,0.5653727,0.04119187,0.5945299,-0.04533519,0.59453,-0.04533518,0.5945299,-0.045335203,0.4210301,0.26857066,0.59453,-0.045335196,0.5653727,0.041191854
E2f7,1.610449,0.26218665,1.610449,0.26218662,1.610449,0.26218656,1.6104491,0.2621865,1.6104487,0.2621866,1.6104492,0.2621866,1.6104492,0.26218653
E2f8,1.7409633,0.39483252,1.7054397,0.65550244,1.688436,0.6787896,1.6353062,0.7824579,1.6353064,0.78245825,1.6379168,0.76367414,1.7125055,0.6025575
E4f1,0.2013349,0.11694858,0.20133486,0.11694861,0.20133486,0.1169486,0.20133486,0.1169486,0.20133483,0.11694866,0.2013349,0.11694861,0.20133486,0.1169486
Ebf1,0.15599388,0.04558485,0.15599382,0.04558485,0.15599388,0.04558485,0.15599382,0.04558485,0.15599382,0.04558485,0.15599382,0.045584865,0.15599382,0.04558485
Ebf3,0.5541938,0.16719517,0.57243425,0.17762545,0.5716779,0.17866129,0.5753953,0.17854965,0.57539535,0.17854974,0.5725564,0.17731985,0.56609845,0.17915893
Edf1,0.09990519,1.0420127,0.38007218,0.6578837,0.16286048,0.9404028,-0.042514116,1.249888,0.16390863,0.9514144,0.3617589,0.68182015,0.11236036,1.0621125
