GeneSymbol,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19
Crebl2,0.12903067,-0.012121641,0.60610396,-0.17189275,-0.7770524,0.3271979,-0.6333604,0.38399813,-0.5009779,0.31169283,0.36277992,0.06993499,-0.6333604,0.38399813,0.36277992,0.06993499,-0.18524325,-0.02912202,-0.18524325,-0.02912202
Crebzf,-0.49570417,-0.080234714,-0.61082125,0.0030076976,-0.38839716,-0.35649264,0.16520564,-0.48276618,0.2778769,-0.57533216,-0.18931693,-0.47739008,-0.11700694,0.015305522,0.2030761,-0.41740963,-0.27436742,-0.041745085,0.12236418,-0.16263767
Crem,-0.6692483,0.39212266,0.5601906,0.09137011,0.67030346,0.098539606,0.35267842,0.07231941,-0.6692483,0.39212266,0.35267842,0.07231941,-0.6692483,0.39212266,-0.6692483,0.39212266,-0.57413125,0.1492924,-0.6692483,0.39212266
Cry1,-0.017689768,0.3406421,-0.017689768,0.3406421,0.06306182,-0.2232536,0.06306182,-0.2232536,0.42089307,-0.0643417,-0.017689768,0.3406421,-0.017689768,0.3406421,-0.017689768,0.3406421,-0.017689768,0.3406421,-0.017689768,0.3406421
Cry2,0.06306182,-0.2232536,-0.017689768,0.3406421,0.6279499,1.3197587,-0.017689768,0.3406421,0.06306182,-0.2232536,0.06306182,-0.2232536,0.06306182,-0.2232536,0.06306182,-0.2232536,-0.017689768,0.3406421,-0.017689768,0.3406421
Csda,-0.4297812,0.24377719,-0.42417175,0.056427073,-0.37432772,-0.015392081,-0.5639179,0.12548426,-0.588158,0.1335774,-0.34101832,0.17111127,0.17073452,-0.20883414,0.18939267,-0.20214848,-0.43291956,0.041038737,-0.4766358,0.18172862
Csde1,0.35793877,-0.09392593,0.35793877,-0.09392593,0.35793877,-0.09392593,0.35793877,-0.09392593,0.35793877,-0.09392593,0.35793877,-0.09392593,0.35793877,-0.09392593,0.35793877,-0.09392593,0.35793877,-0.09392593,0.35793877,-0.09392593
Csrnp1,-0.03820208,0.60317016,0.42089328,-0.06434187,0.035086263,-0.38789475,-0.017689802,0.340642,0.24153987,0.35512957,-0.017689802,0.340642,0.06306206,-0.22325334,0.06306206,-0.22325334,-0.03820208,0.60317016,-0.03820208,0.60317016
Ctcf,-0.4874069,-0.52150565,0.00032017753,-0.5158116,-0.4049363,-0.33730733,-0.026935078,-0.17584597,0.20251696,-0.56513727,-0.29656783,-0.5459542,0.17792545,-0.7685597,0.44220692,-0.862546,0.27409583,-0.41247934,0.25725225,-0.4641954
Ctnnb1,-0.52504826,-0.22387329,-0.2954457,-0.4872409,0.19046561,-0.3079074,0.2682862,-0.34574553,-0.5150976,-0.24328195,-0.039306562,-0.1140809,0.24000706,-0.52205604,0.30503243,-0.6512279,-0.38430113,-0.31486493,-0.50098324,-0.26926613
