Source,Target,PValue
Hnf4A,Gtf2Ird1,1.0241721828602154e-26
Hnf4A,Ctdsp2,1.1323992494384018e-26
Elk3,Pla2G2F,1.1338178854630414e-26
Znf143,Mpp3,1.3850716971347245e-26
Elk4,Ids,1.4674854544976195e-26
Nfyb,Mterf2,1.5928367889832835e-26
Sp2,Chn1,1.6069405983901583e-26
Hnf4A,Mmachc,1.9448669824728316e-26
Elk4,Slc48A1,1.9722982136421184e-26
Taf1,Ankhd1,2.079924725201012e-26
Thap11,Men1,3.361186389254519e-26
Hnf4A,Ncoa4,3.4248689555674094e-26
Nfyb,Fam185A,4.220080793414882e-26
Znf787,Rps16,4.5773681079444405e-26
Nfyc,Znf326,7.319331377885676e-26
Tgif1,Letm2,7.92339046105589e-26
Fosl2,Clcf1,1.307678252402922e-25
Rbbp5,Rbm19,1.542590627330758e-25
Rfx5,Nrp2,1.718476278740807e-25
Ubtf,Ppp1Cc,2.149660868667583e-25
Hoxa13,Alx1,3.0321529665680743e-25
Smarca4,Fam118B,4.755275422799026e-25
Nr2C2,Dph7,5.052390231836059e-25
Thap1,Rab3Gap1,6.508943545444566e-25
Atf4,Rnps1,6.837210711161715e-25
Ubtf,Tardbp,9.674553891893993e-25
Fosl2,Ubxn10,1.0709063422914495e-24
Jun,Cxcl8,1.1625991655791075e-24
Rbbp5,Wdr48,1.2889171125915467e-24
Tbp,Pfas,1.3361836305934241e-24
Hnf4A,Adipor2,1.362816548555621e-24
Taf1,Aasdh,1.401703269546988e-24
Yy1,Taf5,1.519834647741289e-24
Thap1,Nol12,1.84898181102086e-24
Nrf1,Pax8,2.0401978400568738e-24
Gmeb2,Etnk1,2.390824039217948e-24
Tgif2,Med30,2.3972135272155716e-24
Hnf4A,Gnai1,3.0444706167555173e-24
Nr2C2,Znf84,3.2276798835491245e-24
Stat2,Btc,3.556121701547453e-24
Znf143,Stxbp5,3.602107739254796e-24
Irf1,Apol2,3.686086075945799e-24
Hcfc1,Snrpa1,3.8676126741554174e-24
Znf266,Znf224,3.99563955095338e-24
Znf143,Ints9,4.536018587279049e-24
Znf143,Csnk1G1,4.6940160637481625e-24
Rbbp5,Tprg1L,4.8621339287721865e-24
Taf1,Ap4B1,4.92924978199966e-24
Tgif2,Siah1,5.6570811639971945e-24
Ubtf,Tmub2,5.961450909928102e-24
Nfil3,Tiparp,6.309890265711998e-24
Ubtf,Tefm,6.5072629212259005e-24
Nfkb2,Ntng2,6.771305846602204e-24
Rb1,Tmem126B,8.903164772694927e-24
Smad5,Smchd1,9.045291832778742e-24
Ubtf,Rest,1.2054099924947247e-23
Rest,Ubtf,1.2054099924948902e-23
Tal1,Nova2,1.2456993894208556e-23
Creb3,C11Orf86,1.2909214847606067e-23
E2F2,Loxl3,1.2964954962009634e-23
Hnf4A,Akap3,1.5617324421111564e-23
Rbbp5,Tpst2,1.6273718452465635e-23
Yy1,Mob4,1.8519639346967338e-23
Elk3,Gpr132,2.47401106394774e-23
Rarg,Mdga1,2.4745861671751005e-23
Znf384,Col26A1,2.7650150991589057e-23
Gabpa,Gmcl1,2.956356359881088e-23
Pbx3,Tmem218,2.9988726101006094e-23
Fosl2,Chac1,3.391412776695558e-23
Znf384,Pttg3P,5.495933339329912e-23
Tgif1,Zfand2A,5.857867069712218e-23
Znf143,C14Orf28,5.88545902419471e-23
Mecom,Efr3B,5.924297450095839e-23
Smad5,Zeb1,6.728736543154855e-23
Znf35,Phox2B,1.0032324272764962e-22
Yy1,Norad,1.2043152269968903e-22
Tgif1,Btg1,1.4740801283691917e-22
Hnf1B,Cacng6,1.4953663430367986e-22
Elk4,Pudp,1.7010606880325966e-22
Smad5,Bdp1,2.0063277786412337e-22
Klf4,Gcnt3,2.315673309688811e-22
Znf787,Slc25A39,2.4310257877352235e-22
Hnf4A,Ep300-As1,3.463291383798189e-22
Nfyc,Gsto1,4.110263977817382e-22
Tgif1,Bhlhe40,4.898636905457674e-22
Rbbp5,Tmem186,6.115746459995491e-22
Foxo4,Zhx1,7.059677894332055e-22
Ubtf,Cdca7L,7.756448454109625e-22
Ubtf,Mterf1,8.267158182096715e-22
Taf1,Tnks2,8.878821806812481e-22
Ppara,Galt,9.294616507562954e-22
Klf4,Map1B,9.405540116178406e-22
E2F2,Selplg,1.0712044921615982e-21
Klf4,Adamts1,1.1333464588165574e-21
Rbbp5,Klf14,1.3719584727664888e-21
Elk1,Zc3H7B,1.5700952206674921e-21
Fosl2,Klf4,1.636101099304514e-21
Tbp,Ints8,1.8742541839038668e-21
Elk4,Arid1B,1.9834592461473736e-21
Fosb,Chac1,2.09869002865005e-21
Znf787,Cd320,2.2112921107967834e-21
Nfkb2,Cebpd,2.5170206010707016e-21
Hnf4A,Aass,2.8223433182107615e-21
Hnf4A,Dapk1,3.0187467752824366e-21
Rbbp5,Csnk1G1,3.47093277831272e-21
Cebpb,Wfdc12,3.5407894066618716e-21
Sp1,Naif1,3.730933173549766e-21
Srf,Jmjd6,3.8048952856117835e-21
Mesp1,Trpv3,4.1529083320537906e-21
E2F1,Klf14,4.8723275730337614e-21
Creb3L2,Linc00589,4.9880535087972396e-21
Nfil3,Cxcl8,5.2404060022341496e-21
Gmeb2,Slc7A1,5.488457754647137e-21
Thap11,Inppl1,5.541063352853955e-21
Atf4,Trib3,5.718702684396517e-21
Elk4,Ube4B,6.225285267570926e-21
Hnf4A,C22Orf31,6.4729769041094614e-21
Ubtf,Thoc5,6.7539444583071934e-21
Yy1,Agfg2,7.019775305478983e-21
Hnf4A,Akap1,7.224044369546707e-21
Kdm5A,Ints8,7.260057962658233e-21
Taf1,Nom1,7.344343283554059e-21
Stat1,Cyfip1,7.433717869444571e-21
Gmeb2,Fam50A,1.005700848325143e-20
Gabpa,Synj2Bp,1.0283000740039264e-20
Sp1,Ube4B,1.0634395122627232e-20
Elk4,Iqck,1.232839259495946e-20
Tfdp1,Ei24,1.3668115107984652e-20
Taf7,Atp7A,1.5571956520035945e-20
Tgif1,Klhl15,1.6689292486654356e-20
Mesp1,Arhgef16,2.069845972902626e-20
Foxc1,Rbm24,2.0746592615715737e-20
Znf384,Sema6A,2.1315045760998416e-20
Ubtf,Tnpo2,2.5568473562673392e-20
Wrnip1,Smim20,2.6871712165650847e-20
Klf4,Adgre5,3.171980681780994e-20
Foxc1,Clec1A,3.865253201659352e-20
Gmeb2,Linc00963,4.235819024535718e-20
Znf143,Tmem167A,4.240766926271958e-20
Hnf4A,Bnip3,4.656287881892463e-20
Nfyb,Atf5,5.276067864911448e-20
Nfkb2,Psg9,5.623123501920745e-20
Smad5,Mapk6,5.879390257215264e-20
Nfyc,Arid1B,6.553984733326502e-20
Taf1,Ccnt2,7.345511477496839e-20
Sp1,Fam172A,7.491698632551907e-20
Rbbp5,Lasp1,7.742911640737915e-20
Zfp30,Kcnq1Ot1,8.942520390684362e-20
Fosl1,Ttc39A,8.98480802635143e-20
Etv2,Cd207,9.932510766121986e-20
Jund,Gpcpd1,1.3141915255765518e-19
Rarg,Pde2A,1.4459794990328455e-19
Yy1,Smim15,1.5380346618362119e-19
Hnf4A,Lrtm1,1.996333478501556e-19
Znf384,Hmg20A,2.0388463998213876e-19
Tfdp1,Chchd4,2.6226842783732625e-19
Pbx3,Haus8,3.0767990941499666e-19
Klf4,Gprc5A,3.2236345511484233e-19
Pbx3,Rbfox2,3.22610740786695e-19
Rbbp5,Tmem102,3.6172137368472417e-19
Elk4,Phtf2,4.356209153793646e-19
Thap1,Camlg,4.899140329444753e-19
Znf384,Kif27,5.163460747467487e-19
Nr1H3,Znf652,5.4374011001535975e-19
Elf4,Rasip1,5.508848226616635e-19
Junb,Chac1,6.40286894052278e-19
Ubtf,Trim41,7.330318072505181e-19
Yy1,Mtif3,7.367989061704154e-19
Znf266,Znf548,8.741659531901931e-19
Znf787,Shmt2,9.057174788966577e-19
Hnf4A,Cacng6,9.831885697072395e-19
Yy1,Arid4B,1.0132255043256229e-18
