Source,Target
Cdca4,Hnrnpk
Cdca4,Nr3c2
Cdca4,Hmgb2
Cdca4,Nr1d1
Cdca4,Klf15
Cdca4,Trim28
Cdca4,Trim27
Cdca4,Ssrp1
Cdca4,Pa2g4
Cdca4,Set
Cdca4,Adnp2
Cdca4,Dnmt1
Cdca4,Hnrnpab
Cdca4,Hdac1
Cdca4,Rbbp8
Cdca4,E2f8
Cdca4,Cggbp1
Cdca4,Tmpo
Cdca4,Npm1
Cdca4,Ppargc1a
Cdca4,Nr2c1
Cdca4,Rbmxl1
Cdca4,Pcna
Cdca4,Mlxipl
Cdca4,Crebl2
Cdca4,Ddx20
Cdk4,Ilf3
Cdk4,Gtf3a
Cdk4,Bcl6
Cdk4,Mybbp1a
Cdk4,Klf9
Cdk4,Smarce1
Cdk4,Ruvbl2
Cdk4,Hmgb1
Cdk4,Trim28
Cdk4,Ssrp1
Cdk4,Pa2g4
Cdk4,Set
Cdk4,Nolc1
Cdk4,Dnmt1
Cdk4,Hnrnpab
Cdk4,Tfdp1
Cdk4,Smarcc1
Cdk4,Tmpo
Cdk4,Npm1
Cdk4,Rbmxl1
Cdk4,Pcna
Cdk4,Ppp1r8
Cdk4,Tcf3
Cdk4,Ddx20
Cdt1,Cdk9
Cdt1,Pml
Cdt1,Klf9
Cdt1,Suz12
Cdt1,A930001N09Rik
Cdt1,Hmgb2
Cdt1,Ssrp1
Cdt1,Pa2g4
Cdt1,Set
Cdt1,Grlf1
Cdt1,Sp1
Cdt1,Rora
Cdt1,Dnmt1
Cdt1,Hnrnpab
Cdt1,Hdac1
Cdt1,Rbbp8
Cdt1,E2f3
Cdt1,E2f8
Cdt1,Cggbp1
Cdt1,Gabpb1
Cdt1,Tmpo
Cdt1,Npm1
Cdt1,Rbmxl1
Cdt1,Gtf2f1
Cdt1,Pcna
Cdt1,Taf1d
Cdt1,Trp53
Cdt1,Zbtb16
Cdt1,Cry2
Cdt1,Taf5
Cenpq,Stat3
Cenpq,Zfp35
Cenpq,Nr1d1
Cenpq,Trim27
Cenpq,Arnt
Cenpq,Cebpa
