Source,Target
Cdt1,Hmgb2
Cdt1,Mybl2
Cdt1,Ssrp1
Cdt1,Pa2g4
Cdt1,Set
Cdt1,Ezh2
Cdt1,Hells
Cdt1,Sp1
Cdt1,Dnmt1
Cdt1,Hnrnpab
Cdt1,Hdac1
Cdt1,Rbbp8
Cdt1,E2f1
Cdt1,E2f3
Cdt1,Cggbp1
Cdt1,Foxm1
Cdt1,Tmpo
Cdt1,Npm1
Cdt1,Rbmxl1
Cdt1,Gtf2f1
Cdt1,Pcna
Cdt1,Taf1d
Cdt1,Zbtb20
Cdt1,Trp53
Cdt1,Zbtb16
Cdt1,Mxd3
Cdt1,Cry2
Cenpe,Uhrf1
Cenpe,Topors
Cenpe,Stat3
Cenpe,Psmc3ip
Cenpe,Rfc1
Cenpe,Klf9
Cenpe,Suz12
Cenpe,Top2a
Cenpe,Hmgb2
Cenpe,Mybl2
Cenpe,Ssrp1
Cenpe,Pa2g4
Cenpe,Ezh2
Cenpe,Hells
Cenpe,Dnmt1
Cenpe,Hdac1
Cenpe,Tfdp1
Cenpe,Msl3
Cenpe,Smarca5
Cenpe,Rbbp8
Cenpe,Smarcc1
Cenpe,Foxm1
Cenpe,Tmpo
Cenpe,Npm1
Cenpe,Pcna
Cenpe,Gtf2e2
Cenpe,Zbtb20
Cenpe,Mxd3
Cenpe,Sfpq
Cenpe,Taf2
Cenph,Med6
Cenph,Uhrf1
Cenph,Topors
Cenph,Stat3
Cenph,Ilf2
Cenph,Psmc3ip
Cenph,Rfc1
Cenph,Klf9
Cenph,Camta2
Cenph,Suz12
Cenph,Top2a
Cenph,Ruvbl2
Cenph,Hmgb2
Cenph,Mybl2
Cenph,Ssrp1
Cenph,Sarnp
Cenph,Pa2g4
Cenph,Set
Cenph,Nolc1
Cenph,Ezh2
Cenph,Hells
Cenph,Dnmt1
Cenph,Hnrnpab
Cenph,Cdc5l
Cenph,Hdac1
