Genesymbol	0	1	2	3	4	5	6
Egr1	50.11706667	12.37849	22.80243333	43.5381	43.82293333	27.17913333	28.83586667
Ehf	0.136196333	2.971446667	22.2896	34.25206667	69.95366667	65.5159	0.940881333
Elf1	14.55683333	3.983786667	6.561983333	9.403053333	9.73015	9.776356667	7.17231
Elf2	21.0779	40.27046667	35.11913333	27.6953	26.14963333	24.0411	24.74476667
Elf3	0.0	0.616693333	2.028203333	3.8628	2.423923333	3.640733333	29.69166667
Elf4	11.45646667	13.6551	4.80553	4.130576667	7.85367	4.612493333	2.268663333
Elk1	14.2222	10.5251	10.27714667	9.88271	10.46596667	10.03654667	9.38872
Elk3	77.30433333	23.01073333	14.09456667	11.1077	9.881133333	9.454056667	3.005963333
Elk4	18.25386667	13.60223333	16.49883333	14.29896667	12.3387	9.625353333	20.4841
Epas1	3.58803	5.24484	0.971472667	2.17657	1.26161	1.399526667	3.332936667
Ercc2	19.635	32.64446667	35.2853	37.31846667	35.38403333	28.6717	32.81203333
Ercc3	32.3607	22.99803333	23.07283333	27.6429	27.01393333	25.6884	28.36353333
Erf	45.8857	32.60783333	27.89443333	21.47163333	27.8799	32.91553333	30.87756667
Esrra	28.43683333	36.91473333	33.91526667	37.79083333	47.67806667	37.9689	8.860776667
Esrrb	0.006823033	0.031278667	0.443537	2.19366	6.200346667	21.50003333	71.3248
Ets1	18.81006667	14.84023333	5.856506667	2.386236667	1.3109	0.867479	2.165243333
Ets2	11.4778	13.0968	11.58335333	11.64143	18.11346667	18.17976667	11.0464
Etv1	1.28179	4.191536667	2.9637	1.033390667	2.217283333	2.12034	5.432426667
Etv4	24.9489	97.66763333	84.18713333	106.21	119.6406667	102.5514333	44.3195
Etv5	18.75856667	79.321	98.29886667	96.78626667	105.0923333	107.1636667	113.3753333
Etv6	13.6297	11.77993333	15.1436	15.43903333	14.61103333	11.55423333	10.74204
Ezh1	7.16111	15.0674	18.32586667	14.7949	19.773	27.85093333	22.0846
Ezh2	18.6269	76.7304	98.46153333	129.435	115.35	109.494	112.8988
Fos	60.03373333	16.56826667	12.85263333	11.7451	15.415	4.9687	9.62764
Fosb	10.95121333	0.284736333	1.301690333	1.39699	2.95238	0.654230667	0.496161667
Fosl1	34.37493333	6.485136667	1.67253	2.730443333	2.037213333	2.65043	1.233007667
Fosl2	43.5767	4.768763333	4.331843333	6.58174	5.87116	4.217853333	2.7799
Foxa2	0.041811333	0.0	0.0	0.0	2.106533333	0.0988769	19.9745
Foxc1	15.62163333	3.85316	5.175106667	11.12346667	9.01296	7.385683333	0.513048667
Foxc2	19.58736667	0.216543333	0.0237647	0.072710633	0.079369	0.102104333	0.331162
Foxh1	0.0	0.0254309	1.310039	3.35673	12.42423333	19.5999	41.56343333
Foxj1	0.0381454	0.824726	1.151378	0.390517333	0.936095667	1.005830333	9.64849
