Source,Target
Elf3,Klf5
Elf3,Plagl2
Elf3,Satb2
Elf3,Fosl2
Elf3,Ascl2
Elf3,Jarid2
Elf3,Tfcp2l1
Elf3,Ovol2
Elf3,Grhl2
Elf3,Zfp281
Elf3,Creb3l1
Elf3,Smad1
Elf3,Ghr
Elf3,Lifr
Elf3,0610010O12Rik
Elf3,9130008F23Rik
Elf3,Abcb1a
Elf3,Ahcyl2
Elf3,Aim1l
Elf3,B3gnt7
Elf3,BC046404
Elf3,Bcl2l14
Elf3,Cgn
Elf3,Cgref1
Elf3,Cnnm4
Elf3,Coro1b
Elf3,Cs
Elf3,Elmo3
Elf3,Elovl7
Elf3,Epcam
Elf3,Eps8
Elf3,Eps8l2
Elf3,Erbb2
Elf3,Erbb3
Elf3,Espn
Elf3,F2rl1
Elf3,Fam83h
Elf3,Fam98c
Elf3,Fbxo25
Elf3,Frk
Elf3,Fzd5
Elf3,Gale
Elf3,Galnt12
Elf3,Galnt3
Elf3,Galnt6
Elf3,Galnt7
Elf3,Gipc2
Elf3,Glod5
Elf3,Gmds
Elf3,Gna11
Elf3,Golm1
Elf3,Gpa33
Elf3,Gpr160
Elf3,Gpx2
Elf3,Grb7
Elf3,Hook2
Elf3,Igsf9
Elf3,Ildr1
Elf3,Itga3
Elf3,Itgb4
Elf3,Itpr3
Elf3,Kcnk1
Elf3,Kcnn4
Elf3,Krt18
Elf3,Krt19
Elf3,Krt20
Elf3,Krt7
Elf3,Krt8
Elf3,Krtcap3
Elf3,Lad1
Elf3,Liph
Elf3,Llgl2
Elf3,Lrrc31
Elf3,Mal2
Elf3,Mapk13
Elf3,Marveld3
Elf3,Metrnl
Elf3,Mfsd4
Elf3,Mgat3
Elf3,Mgat4a
Elf3,Mgat5
Elf3,Mgst2
Elf3,Mtmr11
Elf3,Myh14
Elf3,Myo1a
Elf3,Myo5c
Elf3,Ocln
Elf3,Oit1
Elf3,Pak1
Elf3,Pak4
Elf3,Pde9a
Elf3,Pglyrp1
Elf3,Pkp3
Elf3,Pla2g10
Elf3,Plcb3
Elf3,Plch1
Elf3,Plek2
Elf3,Plekha7
Elf3,Plekhb2
Elf3,Plekhh1
Elf3,Pllp
Elf3,Pls1
Elf3,Ppfia3
Elf3,Prr13
Elf3,Prss32
Elf3,Prss8
Elf3,Pycard
Elf3,Rab11fip1
Elf3,Rab25
Elf3,Rassf6
Elf3,Rassf7
Elf3,Rfk
Elf3,Rhpn2
Elf3,Scamp2
Elf3,Sdcbp2
Elf3,Serinc2
Elf3,Sfn
Elf3,Shroom3
Elf3,Slc25a24
Elf3,Slc26a2
Elf3,Slc35c1
Elf3,Slc37a1
Elf3,Slc39a4
Elf3,Slc6a8
Elf3,Spink3
Elf3,Spint1
Elf3,Spint2
Elf3,St14
Elf3,Stap2
Elf3,Styk1
Elf3,Sult2b1
Elf3,Tjp3
Elf3,Tmc4
Elf3,Tmem102
Elf3,Tmem20
Elf3,Tmem238
Elf3,Tmem30b
Elf3,Tmem54
Elf3,Tmem79
Elf3,Tnk1
Elf3,Tpd52
Elf3,Tprn
Elf3,Trim40
Elf3,Trpm4
Elf3,Tspan8
Elf3,Ush1c
Elf3,Usp43
Elf3,Vasp
Elf3,Vsig10
Elf3,Zdhhc13
Elmo3,Sarnp
Elmo3,Ezh1
Elmo3,Irf6
Elovl7,Stat5b
Elovl7,Gtf2i
Elovl7,Klf5
Elovl7,Satb2
Elovl7,Klf15
Elovl7,Jarid2
Elovl7,Ovol2
Elovl7,Taf1c
Elovl7,Smad1
Elovl7,Irf6
Elovl7,Tnfaip3
Endod1,Mecom
Endod1,Rcor1
Endod1,Satb2
Endod1,Tfcp2l1
Endod1,Gm98
Endod1,Creb3l1
Endod1,Smad1
Epcam,Nfic
Epcam,Klf5
Epcam,Plagl2
Epcam,Atf5
Epcam,Jarid2
Epcam,Ovol2
Epcam,Grhl2
Epcam,Ets2
Epcam,Creb3l1
Epcam,Irf6
Eps8,Klf5
Eps8,Plagl2
Eps8,Atf5
Eps8,Jarid2
Eps8l2,Zfp639
Eps8l2,Spata24
Eps8l2,Irf6
Erbb2,Myb
Erbb2,Trim16
Erbb2,Klf5
Erbb2,Zfp367
Erbb2,Cux1
Erbb2,Fosl2
Erbb2,Hes1
Erbb2,Grhl2
Erbb2,Relb
Erbb3,Rreb1
Erbb3,Zbtb7b
Erbb3,Bmi1
Erbb3,Irf6
Esrp1,Nfic
Esrp1,Mafg
Esrp1,Klf5
Esrp1,Atf5
Esrp1,Irf6
Esrp2,Tcea3
Esrp2,Zfp750
Esrp2,Irf6
Esrp2,Taf1
F2rl1,Klf5
F2rl1,Plagl2
F2rl1,Purb
F2rl1,Klf15
F2rl1,Fos
F2rl1,Hhex
F2rl1,Ovol2
F2rl1,Taf1c
F2rl1,Irf6
F2rl1,Tnfaip3
Fam83h,Ppard
Fam83h,Klf5
Fam83h,Esrra
Fam83h,Satb2
Fam83h,Ascl2
Fam83h,Zbtb7a
Fam83h,Mlx
Fam83h,Cc2d1a
Fam83h,Irf6
Fbxo25,Nfic
Fbxo25,Gtf2i
Fbxo25,Klf5
Fbxo25,Atf5
Fbxo25,Lass6
Fbxo25,Ovol2
Fgfbp1,Myb
Fgfbp1,Trim16
Fgfbp1,Mecom
Fgfbp1,Klf5
Fgfbp1,Fosl2
Fgfbp1,Hoxb6
Fgfbp1,Ascl2
Fgfbp1,Grhl2
Fgfbp1,Irf6
Frk,Zkscan17
Frk,Lass6
Frk,Hinfp
Frk,Foxj3
Frk,Ovol2
Frk,Smad1
Frk,Irf6
Galnt12,Myb
Galnt12,Satb2
Galnt12,Lass2
Galnt12,Jarid2
Galnt12,Arid5b
Galnt12,Ovol2
Galnt12,Smad1
Galnt3,Klf5
Galnt3,Esrra
Galnt3,Satb2
Galnt3,Atf5
Galnt3,Lass6
Galnt3,Tfcp2l1
Galnt3,Smad1
Galnt7,Klf5
Galnt7,Sox9
Galnt7,Plagl2
Galnt7,Satb2
Galnt7,Atf5
Galnt7,Lass6
Galnt7,Jarid2
Galnt7,Smad1
Gipc2,Myb
Gipc2,Trim16
Gipc2,Klf4
Gipc2,Klf6
Gipc2,Klf5
Gipc2,Plagl2
Gipc2,Fosl2
Gipc2,Jarid2
Gipc2,Relb
Gipc2,Elf1
Gipc2,Irf1
Gipc2,Irf6
Gipc2,Tnfaip3
Glod5,Ppard
Glod5,Zkscan17
Glod5,Esrra
Glod5,Lass6
Glod5,Ascl2
Glod5,Tfcp2l1
Glod5,Ovol2
Glod5,Mlx
Glod5,Zfp281
Glod5,Mxi1
Gmds,Nfic
Gmds,Satb2
Gmds,Atf5
Gmds,Lass6
Gmds,Jarid2
Gmds,Arid5b
Gmds,Ovol2
Gmds,Zfp281
Gmds,Smad1
Gmds,Irf6
Golm1,Myb
Golm1,Klf5
Golm1,Rcor1
Golm1,Satb2
Golm1,Fosl2
Golm1,Jarid2
Golm1,Tfcp2l1
Golm1,Ovol2
Golm1,Grhl2
Golm1,Creb3l1
Golm1,Smad1
Golm1,Tnfaip3
Golph3l,Rcor1
Golph3l,Satb2
Golph3l,Prdm14
Golph3l,Gm98
Golph3l,Smad1
Gpa33,Ppard
Gpa33,Zkscan17
Gpa33,Klf5
Gpa33,Sox9
Gpa33,Esrra
Gpa33,Tfap4
Gpa33,Satb2
Gpa33,Lass6
Gpa33,Ascl2
Gpa33,Smarca2
Gpa33,Gtf2ird1
Gpa33,Ovol2
Gpa33,Mlx
Gpa33,Zfp281
Gpa33,Irf6
Gpa33,Mxi1
Gpr160,Myb
Gpr160,Stat5b
Gpr160,Satb2
Gpr160,Fosl2
Gpr160,Atf5
Gpr160,Lass6
Gpr160,Ascl2
Gpr160,Jarid2
Gpx2,Myb
Gpx2,Tfcp2
Gpx2,Klf5
Gpx2,Jarid2
Gpx2,Ovol2
Gpx2,Smad1
Grb7,Zfp524
Grb7,Sarnp
Grb7,Tfcp2l1
Grb7,Irf6
Ildr1,Satb2
Ildr1,Prdm14
Ildr1,Tfcp2l1
Ildr1,Gm98
Ildr1,Creb3l1
Irf6,Trim35
Irf6,Sh2d3c
Irf6,Cadm1
Irf6,Slc12a4
Irf6,Wisp2
Irf6,Arhgap23
Irf6,Parvb
Irf6,Bdnf
Irf6,Hip1
Irf6,Neurl2
Irf6,Ppm1f
Irf6,1190003J15Rik
Irf6,Acpl2
Irf6,Aim1l
Irf6,Atp11b
Irf6,Brpf3
Irf6,Camsap3
Irf6,Cdc42bpg
Irf6,Cgref1
Irf6,Chdh
Irf6,Cryl1
Irf6,Dpp4
Irf6,Dsc2
Irf6,Ephb2
Irf6,Evpl
Irf6,Fam102a
Irf6,Fam83g
Irf6,Fgd4
Irf6,Gale
Irf6,Gjb2
Irf6,Grtp1
Irf6,Hook1
Irf6,Hook2
Irf6,Igsf9
Irf6,Inadl
Irf6,Ipmk
Irf6,Itgb4
Irf6,Krt18
Irf6,Krt7
Irf6,Krt8
Irf6,Krtcap3
Irf6,Lad1
Irf6,Lama3
Irf6,Llgl2
Irf6,Lrba
Irf6,Mal2
Irf6,Mansc1
Irf6,Mapk13
Irf6,Marveld2
Irf6,Marveld3
Irf6,Mpzl2
Irf6,Mtap7
Irf6,Myo1a
Irf6,Myo6
Irf6,Nipal1
Irf6,Ociad2
Irf6,Ocln
Irf6,Ovol1
Irf6,Pard6b
Irf6,Pawr
Irf6,Pcbd1
Irf6,Pcdh1
Irf6,Perp
Irf6,Pkp3
Irf6,Plek2
Irf6,Pls1
Irf6,Prss8
Irf6,Ptpn3
Irf6,Rab25
Irf6,Rassf6
Irf6,Rassf7
Irf6,Rbm47
Irf6,Rhpn2
Irf6,Ripk4
Irf6,Rnf128
Irf6,Sdcbp2
Irf6,Smagp
Irf6,Spink3
Irf6,Spint1
Irf6,Spint2
Irf6,St14
Irf6,Stap2
Irf6,Stard10
Irf6,Sult2b1
Irf6,Susd2
Irf6,Tjp3
Irf6,Tmc4
Irf6,Tmem125
Irf6,Tmem20
Irf6,Tmem238
Irf6,Tmem30b
Irf6,Tmem54
Irf6,Tmem8
Irf6,Tnk1
Irf6,Tspan8
