TF	Gene	Input
Fam83h	Ppard	1
Fam83h	Klf5	1
Fam83h	Esrra	1
Fam83h	Satb2	1
Fam83h	Ascl2	1
Fam83h	Zbtb7a	1
Fam83h	Mlx	1
Fam83h	Cc2d1a	1
Fam83h	Irf6	1
Fbxo25	Nfic	1
Fbxo25	Gtf2i	1
Fbxo25	Klf5	1
Fbxo25	Atf5	1
Fbxo25	Lass6	1
Fbxo25	Ovol2	1
Fgfbp1	Myb	1
Fgfbp1	Trim16	1
Fgfbp1	Mecom	1
Fgfbp1	Klf5	1
Fgfbp1	Fosl2	1
Fgfbp1	Hoxb6	1
Fgfbp1	Ascl2	1
Fgfbp1	Grhl2	1
Fgfbp1	Irf6	1
Frk	Zkscan17	1
Frk	Lass6	1
Frk	Hinfp	1
Frk	Foxj3	1
Frk	Ovol2	1
Frk	Smad1	1
Frk	Irf6	1
Galnt12	Myb	1
Galnt12	Satb2	1
Galnt12	Lass2	1
Galnt12	Jarid2	1
Galnt12	Arid5b	1
Galnt12	Ovol2	1
Galnt12	Smad1	1
Galnt3	Klf5	1
Galnt3	Esrra	1
Galnt3	Satb2	1
Galnt3	Atf5	1
Galnt3	Lass6	1
Galnt3	Tfcp2l1	1
Galnt3	Smad1	1
Galnt7	Klf5	1
Galnt7	Sox9	1
Galnt7	Plagl2	1
Galnt7	Satb2	1
Galnt7	Atf5	1
Galnt7	Lass6	1
Galnt7	Jarid2	1
Galnt7	Smad1	1
Gipc2	Myb	1
Gipc2	Trim16	1
Gipc2	Klf4	1
Gipc2	Klf6	1
Gipc2	Klf5	1
Gipc2	Plagl2	1
Gipc2	Fosl2	1
Gipc2	Jarid2	1
Gipc2	Relb	1
Gipc2	Elf1	1
Gipc2	Irf1	1
Gipc2	Irf6	1
Gipc2	Tnfaip3	1
Glod5	Ppard	1
Glod5	Zkscan17	1
Glod5	Esrra	1
Glod5	Lass6	1
Glod5	Ascl2	1
Glod5	Tfcp2l1	1
Glod5	Ovol2	1
Glod5	Mlx	1
Glod5	Zfp281	1
Glod5	Mxi1	1
Gmds	Nfic	1
Gmds	Satb2	1
Gmds	Atf5	1
Gmds	Lass6	1
Gmds	Jarid2	1
Gmds	Arid5b	1
Gmds	Ovol2	1
