source,target,p-value,model
Ppargc1a,Suclg1,1.3996118452567266e-08,-1
Mybbp1a,Pold2,1.4200894017595326e-08,1
Hdac1,Rpl8,1.5273300330408435e-08,1
Tcf12,Dgkz,1.5738464574358077e-08,1
Nfix,Rars,1.638833267738801e-08,-1
Gtf2f1,Lzic,1.661292182140064e-08,1
Nolc1,Brix1,1.669369214828025e-08,-1
Bptf,Srrm1,1.7009207771901095e-08,-1
Kdm5c,Ankrd11,1.8308004488051747e-08,-1
Hdac1,Rpl7,1.838269764049678e-08,1
Zfp292,Mysm1,1.8672865718447335e-08,1
Mysm1,Zfp292,1.867286571845397e-08,1
Nfic,Gm2a,1.9281890754563944e-08,-1
Tcf12,Rbm39,2.0759718611228505e-08,1
Hmg20a,Rbm39,2.0759720501717095e-08,1
Junb,Ier2,2.2477747188482867e-08,-1
Drap1,Bag6,2.3070739725591463e-08,-1
Taf12,Hp1bp3,2.3161171542226566e-08,-1
Taf12,Hp1bp3,2.3161171542226566e-08,-1
Yy1,Whsc1l1,2.3203306033557577e-08,-1
Sfpq,Fam49b,2.4309404670963113e-08,1
Purb,Tmem150a,2.4408115127571337e-08,-1
Ercc3,Utp18,2.5543637193820237e-08,-1
Mef2d,Map2k7,2.591528989018725e-08,-1
Mef2d,Phf2,2.591528989018725e-08,-1
Ahctf1,Srsf11,2.6922482812879198e-08,-1
Nfat5,Taf15,2.7302726482516698e-08,-1
Gtf2e1,Wrnip1,2.9381686034104085e-08,-1
Prdm4,Gnmt,3.000601446351772e-08,1
Nr1i3,Apol7a,3.0040502314426085e-08,-1
Cbfb,Wdr43,3.119687858588621e-08,-1
Tcea1,Tgfbr1,3.252997596637556e-08,1
Fubp1,Tgs1,3.26522297490442e-08,-1
Drap1,Josd2,3.2976444622442876e-08,-1
Cbfb,Nsmaf,3.469447302837453e-08,1
Nfib,Ahr,3.567800552637509e-08,-1
Ahr,Nfib,3.567800552637509e-08,-1
Tcf12,Copa,3.5709690209136194e-08,1
Tfdp1,Aaas,3.5771487159934435e-08,-1
Dmap1,Cct7,3.691770185716296e-08,1
Hmg20a,Dync1h1,3.723480118322885e-08,1
Zkscan17,Tmem8,3.750581211684311e-08,-1
Smad4,C8b,3.970208989513633e-08,1
Mterfd1,Wrnip1,4.080264628026621e-08,1
Drap1,Dctn2,4.259159123355822e-08,-1
Mybbp1a,Tsen54,4.55011635244653e-08,1
Zfp292,Huwe1,4.7104273068237034e-08,-1
Rbbp8,Wrn,4.8198189121203655e-08,1
Apex1,Cbx1,4.8872648278469146e-08,-1
Ruvbl2,Itm2b,4.900068587663354e-08,-1
Tfdp1,Abca3,4.974786544571749e-08,-1
Sall1,Tmem56,5.113607084480919e-08,-1
Taf2,Cdc23,5.1468669170941624e-08,-1
Dedd2,1300010F03Rik,5.2625074956331075e-08,-1
Ercc6,Rc3h2,5.4580184456563096e-08,-1
Cbfb,Rpl6,5.5720551698237256e-08,-1
Ing2,Prepl,5.761308345704294e-08,1
Bcor,Dhx15,6.369742128575827e-08,1
Gtf3a,Rps2,6.497061046575e-08,-1
Nolc1,Nkrf,7.096575369230894e-08,-1
Nkrf,Nolc1,7.096575369230894e-08,-1
Gabpb2,Akap13,7.27002754265478e-08,-1
Smad4,Fga,7.748432636408401e-08,1
Nkrf,Thoc5,7.988777156926388e-08,-1
Arid4b,Appbp2,8.105887847896531e-08,-1
Sp1,C8b,8.363268372699365e-08,1
Kdm5a,2810474O19Rik,8.677800845633467e-08,-1
Cbfb,Lsm14a,8.745857992764745e-08,1
Zfp217,Shroom3,9.017066639711376e-08,-1
Chd4,Smarcc1,9.033047399229829e-08,1
Mybbp1a,Armc6,9.199167719276366e-08,1
Nr1h4,Acox1,9.577897842987203e-08,1
Arid4b,Smek2,9.716075534320658e-08,-1
Zfp1,Cox8a,9.743246508965055e-08,1
Trim33,Bdp1,9.75187128056246e-08,-1
Bdp1,Trim33,9.75187128056246e-08,-1
Kdm5a,Rbm39,1.0393752849891823e-07,-1
Taf11,Tasp1,1.0428826278927252e-07,-1
Tfdp1,Rfc5,1.0645074537266578e-07,-1
Ddx20,Gstcd,1.1099182390105673e-07,-1
Maf,Snx9,1.1219170516635275e-07,-1
Fubp1,Ythdc1,1.1317011350880843e-07,-1
Elf1,Dennd2d,1.1422599572960643e-07,-1
Ctcf,Rbm25,1.152432044302827e-07,-1
Zfp36,Dock8,1.1804309101950176e-07,-1
Hinfp,Riok1,1.2217726017893522e-07,-1
Drap1,Cnot2,1.224529521929132e-07,1
Zfp1,Mphosph8,1.232644444938989e-07,-1
Phb,Ptcd3,1.242960538096683e-07,-1
Purb,Eif2c2,1.254437440156846e-07,-1
Purb,Mll5,1.2673552713211923e-07,-1
Crebbp,Srrm1,1.2778673257038395e-07,-1
Taf12,Uqcrh,1.2840853413914022e-07,-1
Hmg20a,Sbf2,1.2996768943983965e-07,1
Nr1i3,Cyp2c68,1.3411983904187817e-07,-1
Bclaf1,Naa16,1.3436876542943496e-07,-1
Tmpo,Sephs1,1.3456854268235092e-07,-1
Hinfp,Fam20b,1.3513828216786533e-07,-1
Zfml,Zmym2,1.3606057113420715e-07,-1
