Source,Target,PValue
Stat3,Rpa3,0.001489682493403064
Zzz3,Snrnp40,0.0014901529552581248
Zbtb16,Plin5,0.001495769498605499
Ptges2,Ndufa10,0.0015040590060712378
Rbbp8,S1pr1,0.0015181329129976245
Ldb1,Spop,0.0015184217714744692
Phb,Timm8a1,0.001534226147530945
Dnajc2,Ddx39,0.0015349752143891738
Maf1,Slc6a12,0.0015385805058405688
Irf5,Aox3,0.0015431963868488211
Rbmx,Nup107,0.0015656270210958384
Hnrnpd,Nkrf,0.0015881690441571996
Cebpb,Errfi1,0.0016016258737571905
Rbbp5,Nup107,0.001604133364131614
Zbtb16,Hfe2,0.001604636209950136
Zfp148,2410127L17Rik,0.0016138804545353205
E2f3,Ints5,0.0016155921012436939
Gabpa,Ddx52,0.0016341806800154758
Ptges2,Idh3a,0.0016392458653351222
Fubp1,Prpf38b,0.0016395765505352502
Irf5,C1ra,0.0016450075799097693
Lmo4,Plcxd2,0.0016503131610357306
Taf5,Eif1ad,0.0016741867148790763
Nfix,Gpr146,0.001677284898767118
Rbbp5,Cse1l,0.0016815726198202566
Smarce1,Zdhhc16,0.00169811036355395
Nr1i2,Ccdc109a,0.0017148493106705401
Thoc1,Exosc8,0.0017264743283200985
Pa2g4,Fyco1,0.001739242593125049
Zfp518a,Rnf138,0.00175233874064605
Rybp,Sumo1,0.0017764071651713306
Rbbp5,Ythdf1,0.001807533145628004
Ptges2,Acot13,0.0018159197551158462
Irf5,Sec14l4,0.0018165768553064807
Grlf1,Nckap1,0.0018219236120732393
Irf5,Errfi1,0.0018300511927879161
Rbbp5,Snrpe,0.0018437718317277684
Rfc1,Psph,0.0018442195035269185
Rbbp8,Katna1,0.0018621999986643387
Zfp36,Il4ra,0.0018885038515860373
Ddx58,Myd88,0.0018981412150275317
Mta2,Hcfc1,0.0019135258684871775
Mier1,Sh3bgrl2,0.001939323994563844
Rbck1,Rbx1,0.0019413982721412262
Maf1,Lrrc3,0.0019443511148159512
Stat5b,Mpzl1,0.0019556156642592964
Tbx3,Lipe,0.0019608488908858268
Gabpa,Txlng,0.001985411134743376
Rxrg,Pmpca,0.002006589187972618
Ing2,Stt3a,0.0020073495409689305
Dnajc2,Fastkd2,0.002030285640624176
Zfp367,Tarsl2,0.0020380079461221495
Nolc1,Elac2,0.002038247295286651
Rbck1,Atp6v0a1,0.0020408153057708835
Nr0b2,Abcc6,0.002047489170868683
Stat3,Snrpd1,0.0020477429206887075
Zfp593,Nufip1,0.002075314380265071
Zfp292,Smc6,0.0020845011394702642
Clock,Appbp2,0.0021142838741874865
Zbtb6,Sumo1,0.0021360038505907077
Trim33,Naa30,0.0021493364482177363
Stat3,1110034A24Rik,0.002158066992989265
Nr2c2,Atrx,0.0021604176339939125
Nono,Hnrnpa3,0.0021648836307722836
Nr0b2,Habp2,0.002186598355881369
Gtf2i,Scamp3,0.0021979112308829684
Zfp593,Utp15,0.002201565290292622
Jun,Slc25a13,0.002205746435931209
Irf7,BC006779,0.002212142138726656
Terf2ip,Gsk3a,0.0022320146261162093
