source,target,p-value,model
Taf1d,Smndc1,4.169810834894374e-33,-1
Mxd4,Kank3,4.4940365830839136e-33,-1
Foxm1,Cenpn,7.774896772638955e-33,-1
Trim30a,Usp18,1.1904318288833996e-32,1
Hells,Tacc3,3.216505088805795e-32,-1
Prdm4,Acbd5,3.216795711264563e-32,1
Foxm1,Ndc80,4.9241870413636345e-32,-1
Tcea3,Mtus1,4.936955672625004e-32,1
Med6,Cfdp1,8.052878961323613e-32,-1
Hdac2,Rpl15,1.4241994933222923e-31,-1
Zfpm1,Dhrs1,1.479873759028664e-31,-1
Rxra,Acads,2.8452360717351054e-31,1
Sap30,Cwc27,3.0916676751156447e-31,-1
Zfp422,Armcx2,3.76146611933019e-31,-1
Zbtb20,Hnmt,3.9920842310615285e-31,-1
Mybbp1a,Itm2b,4.1459062990441345e-31,-1
Ikzf1,Zc3hav1,5.058502822104712e-31,-1
Ddx1,Psip1,5.223490622061672e-31,-1
Pou2f2,Lrmp,1.0149350106324037e-30,-1
Pa2g4,Utp3,1.3726808282079477e-30,-1
Jdp2,BC028528,1.4291874474637837e-30,-1
Set,Ppp1r8,1.7257061675393564e-30,-1
Ppp1r8,Set,1.7257061675401025e-30,-1
Suz12,Cep57,1.895566680002595e-30,-1
Cc2d1a,Pmaip1,2.4748221311512496e-30,-1
Hdac1,Oxct1,2.667316389803937e-30,-1
Zfp110,Asrgl1,7.09110818496255e-30,-1
Egr2,Egr3,7.682055909384326e-30,-1
Egr3,Egr2,7.682055909384326e-30,-1
Pias4,Wwp2,1.0842864533677638e-29,-1
Foxm1,Bub1b,1.9807253155371082e-29,-1
Top2a,Rpa2,2.3195429499226965e-29,-1
Apex1,Prim1,2.6108841252721175e-29,-1
Cenpb,Rbck1,2.6430495663868577e-29,-1
Rbck1,Cenpb,2.6430495663868577e-29,-1
Apex1,Trip13,2.713223412484443e-29,-1
Npm1,Uba2,3.159375884315935e-29,1
Foxm1,Gins2,3.2358525850986433e-29,-1
Npm1,Snrpe,3.302354058091033e-29,-1
Rxrg,Hspb2,7.367221621262188e-29,-1
Stat1,AB124611,9.402703800038129e-29,-1
Zfp384,Rbl1,1.3091935055940076e-28,-1
Nr1h2,Scaf1,1.6929698699505289e-28,-1
Foxm1,Cdc6,1.8070122849674596e-28,-1
Foxm1,Nup107,2.0414996536980214e-28,1
Mxd4,Tmem100,2.2510275112284525e-28,-1
Pou2f2,Tnfrsf13b,3.1608329615293333e-28,-1
Apex1,Nup93,3.4613314912644834e-28,-1
Apex1,Nup43,3.476765111637862e-28,-1
Hlx,Msn,3.889466135987016e-28,-1
Irf9,Trim21,4.134481256278999e-28,-1
Nfatc1,Zc3hav1,4.432594416740456e-28,-1
Atf1,Cnbp,4.653630043345207e-28,-1
Irf8,Ptk2b,4.901713649273993e-28,-1
Trim30a,Ikbke,9.527437893799475e-28,-1
Elf1,Sirt7,1.4272212880386364e-27,1
Klf15,Pxmp2,1.967568996226378e-27,1
Arid5b,Dpy19l1,2.094636646342429e-27,-1
Tmf1,Eif2a,2.2280337751014956e-27,-1
Mta2,Tox4,2.293111681620434e-27,-1
Hmgb1,Hnrnpu,2.8903961190812e-27,-1
Smad1,Zdhhc13,3.027076634184871e-27,-1
Yap1,Smo,3.072748477640395e-27,-1
Zfp384,Nup153,3.840714350912057e-27,1
Gtf2e2,Cfdp1,3.871711161880546e-27,-1
Sphk1,Ltc4s,4.45861623546314e-27,-1
Smarce1,Eif3f,5.257045393540363e-27,-1
Rfx1,Lpin3,5.525965931820896e-27,-1
Foxm1,Ccnb2,5.623152858214682e-27,-1
Set,Wdr43,6.192741659922311e-27,1
Ppp1r8,Tcof1,6.319819857193472e-27,-1
