source,target,p-value,model
Tmpo,Zmynd19,1.5283298228025678e-08,-1
Npm1,Cdt1,1.528955781788862e-08,-1
Creb3l2,Cyp2d34,2.0879600553925243e-08,-1
Npm1,Hnrnpab,2.1410025837810204e-08,-1
Hnrnpab,Npm1,2.141002583781063e-08,-1
Mybbp1a,Lsg1,2.2743311979970613e-08,-1
Phf5a,Gins1,2.341064281460083e-08,-1
Hnrnpab,Rbmxl1,2.366867787906361e-08,-1
Irf7,Unc93b1,2.4009047865022294e-08,-1
Phf5a,Topbp1,2.5567365244238798e-08,-1
Prdx5,Ctsb,2.7790094028209376e-08,-1
Gabpa,Mrpl50,2.8624670734872878e-08,1
Dnmt1,Uba2,2.8653502782478604e-08,-1
Phf5a,Mcm3,2.9959182820011957e-08,-1
Sarnp,Nop58,3.0600769454499754e-08,-1
Tfdp1,Tyms,3.060747533433878e-08,-1
Hnrnpab,Noc3l,3.0768673618958256e-08,-1
Nono,Tnrc6a,3.182706745485271e-08,-1
Taf5,Pold3,3.4928666397501684e-08,-1
Set,Atg14,3.507488895981945e-08,-1
Gtf2e2,Cdc20,3.5321636273914196e-08,-1
Ssrp1,Rfc5,3.853311686684728e-08,-1
Hinfp,Fxyd1,4.165250614052469e-08,1
Hinfp,Fxyd1,4.165250614052469e-08,1
Nr1h4,Hnf4a,4.543786616853124e-08,-1
Hnf4a,Nr1h4,4.543786616853124e-08,-1
Ctcf,Nucks1,4.771615569075705e-08,1
Hnrnpab,Cct6a,5.277336363885924e-08,-1
Gtf3a,Cdk4,5.375101477128323e-08,1
Ddx41,Siah2,5.890786626595463e-08,-1
Apex1,Nucks1,5.9050675426619396e-08,-1
Npm1,Rpl27,5.981312232409574e-08,-1
Hnf4a,Golt1a,6.493000519378079e-08,-1
Gtf3a,Rps2,6.497061046574917e-08,-1
Tmpo,Rpl8,6.973919893643499e-08,-1
Ruvbl2,Echdc1,7.421442359269733e-08,-1
Tead3,Nt5c2,7.912043089236511e-08,-1
Taf5,Slbp,7.942866974154066e-08,-1
Ruvbl2,Rrm2,8.006734980170314e-08,-1
Taf5,Hmgb3,8.913056308816992e-08,-1
Ctcf,Crebbp,8.954745518295742e-08,1
Crebbp,Ctcf,8.95474551829867e-08,1
Trim28,Cdc20,9.400013326450991e-08,-1
Phf5a,Mcm5,9.767793578621274e-08,-1
Myc,Eri1,9.881258967540224e-08,1
Pa2g4,Kars,1.0689941982062427e-07,-1
Abt1,Wdr43,1.0705075819407868e-07,-1
Trim28,Cenpt,1.171664653874688e-07,-1
Zfp36,Nucks1,1.3651065914251332e-07,-1
Trim28,Fen1,1.3700683300752822e-07,-1
Gatad1,Kif13a,1.3739481910208438e-07,-1
Gabpb1,Fitm2,1.3813944856792355e-07,1
Mybbp1a,Drg2,1.4361178230057349e-07,-1
Hnrnpab,2700094K13Rik,1.4766925592487707e-07,-1
Ruvbl2,H2afx,1.6524454524647715e-07,-1
Ctcf,Ash1l,1.6778484819752797e-07,-1
Ash1l,Ctcf,1.677848481975407e-07,-1
Taf5,E2f8,1.7485629874612807e-07,-1
Stat5a,Il15ra,1.7733313099594678e-07,1
E2f3,Pgk1,1.8499470985514347e-07,1
Rnf4,Gabpb1,1.8673505787813261e-07,-1
Gabpb1,Rnf4,1.8673505787813664e-07,-1
Ruvbl2,Lsm4,1.8801817904934335e-07,1
Trim28,H2afx,1.962534891725117e-07,-1
Tcf3,Cdc23,2.0220868633847747e-07,-1
Phf5a,D19Bwg1357e,2.073307404910639e-07,-1
Phf5a,Gmnn,2.093655167001985e-07,-1
Npm1,Hnrnpa1,2.1943704058435932e-07,-1
Hnrnpab,Clns1a,2.2753047756831385e-07,-1
Hnrnpab,Snrpg,2.3585551841474345e-07,-1
Srrt,Mavs,2.390542945851682e-07,1
Hnrnpab,Rnps1,2.5035645924768296e-07,-1
Ccnt1,Cfl1,2.5175328974098064e-07,1
Hnrnpab,Ppan,2.527577480006989e-07,-1
Hnrnpab,Dkc1,2.61291890190264e-07,-1
Hmgb2,Rrm1,2.6313091433079403e-07,-1
Chd8,Pdss2,2.688582524613223e-07,-1
Phf5a,Nup155,2.728304698690933e-07,-1
Phf5a,Fen1,2.73963844294472e-07,-1
Rbmxl1,Rfc4,2.782938446585041e-07,-1
Gatad1,Aarsd1,2.8415738181119636e-07,-1
Ssrp1,Rrm2,2.9256190448437446e-07,-1
Phf5a,Fbl,3.1945624393089737e-07,-1
