0,1,2
608,Abca3,Abca3
609,Abca6,Abca6
610,Abca8a,Abca8a
611,Abca8b,Abca8b
612,Abcb11,Abcb11
613,Abcb4,Abcb4
614,Abcb7,Abcb7
615,Abcb8,Abcb8
616,Abcc2,Abcc2
617,Abcc3,Abcc3
618,Abcc6,Abcc6
619,Abcc9,Abcc9
620,Abcd1,Abcd1
621,Abcd3,Abcd3
622,Abce1,Abce1
623,Abcf1,Abcf1
624,Abcf2,Abcf2
625,Abcf3,Abcf3
626,Abcg2,Abcg2
627,Abcg5,Abcg5
628,Abcg8,Abcg8
629,Abhd11,Abhd11
630,Abhd14b,Abhd14b
631,Abhd15,Abhd15
632,Abhd3,Abhd3
633,Abhd5,Abhd5
634,Abi1,Abi1
635,Ablim1,Ablim1
636,Ablim3,Ablim3
637,Abtb1,Abtb1
638,Acaa1b,Acaa1b
639,Acaa2,Acaa2
640,Acacb,Acacb
641,Acad11,Acad11
642,Acadm,Acadm
643,Acads,Acads
644,Acadsb,Acadsb
645,Acadvl,Acadvl
646,Acap2,Acap2
647,Acat1,Acat1
648,Acbd4,Acbd4
649,Acbd5,Acbd5
650,Acbd6,Acbd6
651,Acd,Acd
652,Acer3,Acer3
653,Acin1,Acin1
654,Acnat2,Acnat2
655,Aco1,Aco1
656,Aco2,Aco2
657,Acot12,Acot12
658,Acot13,Acot13
659,Acot4,Acot4
660,Acot7,Acot7
661,Acot8,Acot8
662,Acox1,Acox1
663,Acox2,Acox2
664,Acp1,Acp1
665,Acp2,Acp2
666,Acp5,Acp5
667,Acsf3,Acsf3
668,Acsl1,Acsl1
669,Acsl4,Acsl4
670,Acsl5,Acsl5
671,Acsm1,Acsm1
672,Acsm3,Acsm3
673,Acsm5,Acsm5
674,Acss2,Acss2
675,Actg1,Actg1
676,Actl6a,Actl6a
677,Actn4,Actn4
678,Actr10,Actr10
679,Actr2,Actr2
680,Actr3,Actr3
681,Actr6,Actr6
682,Acvr2a,Acvr2a
683,Acy1,Acy1
684,Acy3,Acy3
685,Acyp1,Acyp1
686,Adam9,Adam9
687,Adamts1,Adamts1
688,Adck3,Adck3
689,Adck4,Adck4
690,Add1,Add1
691,Adh1,Adh1
692,Adh4,Adh4
693,Adhfe1,Adhfe1
694,Adi1,Adi1
695,Adipor1,Adipor1
696,Adk,Adk
697,Ado,Ado
698,Adprhl2,Adprhl2
699,Adra1b,Adra1b
700,Adrbk1,Adrbk1
701,Adrm1,Adrm1
702,Adsl,Adsl
703,Adss,Adss
704,Adssl1,Adssl1
705,Aen,Aen
706,Aes,Aes
707,Afg3l1,Afg3l1
708,Afg3l2,Afg3l2
709,Afm,Afm
710,Afmid,Afmid
711,Aftph,Aftph
712,Aga,Aga
713,Agap3,Agap3
714,Agfg1,Agfg1
715,Aggf1,Aggf1
716,Agl,Agl
717,Agmat,Agmat
718,Agmo,Agmo
719,Agpat2,Agpat2
720,Agpat3,Agpat3
721,Agpat9,Agpat9
722,Agphd1,Agphd1
723,Agt,Agt
724,Agtr1a,Agtr1a
725,Agxt,Agxt
726,Agxt2,Agxt2
727,Agxt2l1,Agxt2l1
728,Ahcy,Ahcy
729,Ahsa2,Ahsa2
730,Ahsg,Ahsg
731,Aifm1,Aifm1
732,Aifm2,Aifm2
733,Aim1,Aim1
734,Aimp1,Aimp1
735,Aimp2,Aimp2
736,Ak2,Ak2
737,Ak3,Ak3
738,Akap1,Akap1
739,Akap11,Akap11
740,Akap13,Akap13
741,Akap8,Akap8
742,Akap8l,Akap8l
743,Akirin1,Akirin1
744,Akr1c12,Akr1c12
745,Akr1c13,Akr1c13
746,Akr1c14,Akr1c14
747,Akr1c19,Akr1c19
748,Akr1c20,Akr1c20
749,Akr1c6,Akr1c6
750,Akr1d1,Akr1d1
751,Akr7a5,Akr7a5
752,Akt1,Akt1
753,Akt1s1,Akt1s1
754,Akt2,Akt2
755,Aktip,Aktip
756,Alas2,Alas2
757,Alb,Alb
758,Alcam,Alcam
759,Aldh16a1,Aldh16a1
760,Aldh1a1,Aldh1a1
761,Aldh1a7,Aldh1a7
762,Aldh1b1,Aldh1b1
763,Aldh1l1,Aldh1l1
764,Aldh2,Aldh2
765,Aldh3a2,Aldh3a2
766,Aldh4a1,Aldh4a1
767,Aldh5a1,Aldh5a1
768,Aldh6a1,Aldh6a1
769,Aldh7a1,Aldh7a1
770,Aldh8a1,Aldh8a1
771,Aldh9a1,Aldh9a1
772,Aldoa,Aldoa
773,Aldob,Aldob
774,Aldoc,Aldoc
775,Alg10b,Alg10b
776,Alg11,Alg11
777,Alg12,Alg12
778,Alg5,Alg5
779,Alg8,Alg8
780,Alkbh2,Alkbh2
781,Alkbh7,Alkbh7
782,Als2,Als2
783,Alyref,Alyref
784,Amacr,Amacr
785,Ambp,Ambp
786,Ambra1,Ambra1
787,Amdhd1,Amdhd1
788,Amdhd2,Amdhd2
789,Amotl2,Amotl2
790,Ampd2,Ampd2
791,Amy1,Amy1
792,Anapc1,Anapc1
793,Anapc16,Anapc16
794,Anapc4,Anapc4
795,Anapc5,Anapc5
796,Ang,Ang
797,Angel2,Angel2
798,Angptl3,Angptl3
799,Ank,Ank
800,Ankfy1,Ankfy1
801,Ankhd1,Ankhd1
802,Ankib1,Ankib1
803,Ankle2,Ankle2
804,Ankmy2,Ankmy2
805,Ankrd11,Ankrd11
806,Ankrd13a,Ankrd13a
807,Ankrd17,Ankrd17
808,Ankrd28,Ankrd28
809,Ankrd33b,Ankrd33b
810,Ankrd40,Ankrd40
811,Anks4b,Anks4b
812,Anp32b,Anp32b
813,Anp32e,Anp32e
814,Anpep,Anpep
815,Antxr2,Antxr2
816,Anxa2,Anxa2
817,Anxa4,Anxa4
818,Anxa7,Anxa7
819,Aox1,Aox1
820,Aox3,Aox3
821,Ap1b1,Ap1b1
822,Ap1m1,Ap1m1
823,Ap2a1,Ap2a1
824,Ap2s1,Ap2s1
825,Ap3s1,Ap3s1
826,Ap3s2,Ap3s2
827,Ap4s1,Ap4s1
828,Apcs,Apcs
829,Apeh,Apeh
830,Api5,Api5
831,Aplp2,Aplp2
832,Apoa1,Apoa1
833,Apoa2,Apoa2
834,Apoa4,Apoa4
835,Apoa5,Apoa5
836,Apob,Apob
837,Apobec1,Apobec1
838,Apoc1,Apoc1
839,Apoc2,Apoc2
840,Apoc3,Apoc3
841,Apoc4,Apoc4
842,Apoe,Apoe
843,Apof,Apof
844,Apoh,Apoh
845,Apol7a,Apol7a
846,Apom,Apom
847,Apon,Apon
848,Appbp2,Appbp2
849,Appl1,Appl1
850,Aprt,Aprt
851,Aqp1,Aqp1
852,Aqp11,Aqp11
853,Aqp8,Aqp8
854,Aqp9,Aqp9
855,Arap1,Arap1
856,Arf1,Arf1
857,Arf4,Arf4
858,Arf5,Arf5
859,Arfgap2,Arfgap2
860,Arfgap3,Arfgap3
861,Arfgef1,Arfgef1
862,Arfgef2,Arfgef2
