0,1,2,3,4,5,6,7,8,9
1.999125,2.267354,2.4198723,2.8064713,2.452636,3.18392,2.9156766,2.6505394,2.079384,2.2007422
1.4473925,0.83386916,0.29401496,1.2559943,1.1620425,1.4945691,1.3985444,1.0560935,1.564095,1.5694097
1.7892126,1.6560469,1.3787,2.1175396,1.9406618,2.246199,2.2745173,2.1349607,2.0563772,1.9399223
1.4472144,1.3274624,1.0986928,1.9786073,1.7943037,1.8754625,1.9094043,1.7567297,1.5971452,1.5716535
1.4326605,1.7205105,2.267516,1.8989174,1.90371,1.9384377,2.0080824,1.9576012,1.5015974,1.6253
2.754302,2.6359377,2.6682425,2.9486935,2.7403424,3.0318894,3.1825683,2.9171739,2.7661254,2.6733465
2.5838113,2.5091743,2.286186,2.6686661,2.7099736,2.735911,2.7154567,2.5090575,2.342986,2.4055514
6.084349,5.735572,5.056519,5.6358757,5.4772425,5.580422,4.952197,5.4436836,6.29001,6.3403463
4.2753515,5.742889,6.522439,4.8876905,4.490915,4.8330846,4.3211293,4.2631307,3.336815,3.9402454
3.2879095,3.5009825,3.4257822,3.8837283,3.736353,3.5805535,3.6909544,3.6273637,3.3656943,3.2592046
3.4060493,3.2447362,3.0919921,3.7048335,3.7880747,3.811812,3.6815343,3.4956236,3.4595315,3.611522
3.227831,3.3148856,3.2886145,3.292423,3.5026236,3.6226392,3.815086,3.5581496,3.397289,3.3453188
1.5542095,2.7183626,2.5913708,2.4520035,2.1676145,2.312185,2.300601,2.292554,1.9185206,1.7916188
3.1748757,3.286129,2.8173304,4.246673,3.8579454,4.1348395,3.9327374,3.7154126,3.5935621,3.4374113
0.75414556,1.2088294,1.3761016,1.4508064,1.0642424,1.1543957,1.1133904,1.2060205,0.7608891,0.68432146
1.5068814,1.5627587,1.5539871,1.8123412,1.7899884,1.8322092,1.852381,1.8062896,1.7407712,1.6641539
1.0758836,1.1433816,0.6853386,1.3176005,1.4932988,1.4447559,1.2962153,1.4304125,1.4776771,1.3876163
1.2865977,1.1278818,1.241558,1.2904831,1.1738094,1.3504219,1.3426702,1.2857685,1.0769873,1.0637765
1.415674,1.6438848,1.5519178,1.8947752,1.8102889,1.892063,1.9532838,2.0696695,1.8098304,1.7393689
2.3720484,2.738446,2.544714,2.6748314,3.138664,2.3879004,3.2688615,3.2376354,2.9263139,2.853982
6.492841,6.343551,5.931973,5.8058944,6.384077,6.32832,6.3768992,6.5245976,6.379129,6.3612432
1.3260057,1.1994061,1.4027864,1.661498,1.4415143,1.6059624,1.7201936,1.5664887,1.3865844,1.2716998
3.4232662,3.4369838,3.6057293,4.18355,3.6762195,3.753352,3.7437358,3.3156228,3.3198192,3.319327
1.9916363,1.5947874,3.1113384,2.4585092,2.392173,2.3166833,3.5549855,3.2737448,2.6617746,2.035449
5.8777704,6.4321127,6.6256013,7.2002254,6.506243,6.7433176,5.974164,5.8336825,5.959802,6.092541
