GeneSymbol,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13
Prtg,0.16301772,0.1600444,0.16112584,0.12961654,0.16005641,0.10718873,0.16005638,0.10718873,0.16112581,0.12961654,0.15685919,0.0007858415,0.10699597,0.022618087
Prune2,0.013059944,0.08960708,-0.012359232,-0.28034413,-0.0123592615,-0.28034407,-0.0123592615,-0.28034404,-0.0123592615,-0.28034407,-0.0123592615,-0.28034404,-0.003993511,-0.12711924
Prx,0.30474475,0.22004563,0.3047448,0.22004564,0.30474475,0.22004564,0.30474475,0.22004566,0.30474475,0.22004563,0.30474475,0.22004563,0.30474475,0.22004558
Psap,-0.6951837,-1.4632053,-0.06992084,-0.20825282,-0.1364818,-0.37100795,-0.13648184,-0.37100792,-0.13648182,-0.37100795,-0.06992084,-0.20825277,-0.1470011,-0.21072802
Psat1,0.29737422,0.016708743,0.1444844,-0.59753317,0.24891886,-0.46497324,0.1491799,-0.58720887,0.23451403,-0.59683084,0.2229377,-0.6509458,0.2258912,-0.65570426
Psd3,0.008970112,0.09502709,0.008970141,0.09502705,0.008970141,0.09502705,0.008970141,0.09502705,0.008970141,0.095027015,0.008970141,0.095027015,0.008970141,0.09502705
Psd4,0.42935047,-0.052603275,0.5008974,0.09871385,0.5259783,0.21808243,0.51587355,0.2214515,0.52833176,0.21051756,0.51587355,0.2214516,0.535355,0.2704516
Pskh1,-0.015827566,-0.4761173,-0.027496696,-0.20671393,0.02723071,-0.09512212,-0.0054549575,-0.06643542,0.02723071,-0.09512222,-0.0054549575,-0.066435434,0.02723071,-0.095122166
Psma1,0.16010454,0.027226426,0.16380224,0.050759137,0.16292408,0.045170724,0.16292408,0.045170747,0.16380218,0.050759237,0.16380215,0.050759323,0.16380218,0.050759252
Psma2,0.18528926,0.08759277,0.07955861,-0.47534013,0.12567186,-0.44557765,0.08591893,-0.46724793,0.14146143,-0.3774751,0.1159735,-0.5072998,0.12861726,-0.55296654
