GeneSymbol,PValue
Tmem173,0.8
Tfap2c,0.8
Ddx41,0.8
Atad2,0.8
Csnk1g3,0.8
Cmpk1,0.8
Casp8ap2,0.8
Gna11,0.8
Cct6a,0.8
F2rl1,0.8
Phf19,0.8
Akna,0.8
Bicd1,0.8
Vsig10,0.8
Dnajc9,0.8
B230118H07Rik,0.8
Coil,0.8
Tcerg1,0.8
Eras,0.8
Slc44a4,0.8
Cdca4,0.8
Six4,0.8
Ckap2,0.8
Kank3,0.8
Cycs,0.8
Dmap1,0.8
Fen1,0.8
Taf5,0.8
Rwdd4a,0.8
2700050L05Rik,0.8
Actl6a,0.8
Rbm8a,0.8
Cirh1a,0.8
Mlx,0.8
Etaa1,0.8
Setx,0.8
Irs1,0.8
Rad51,0.8
Ccnb1,0.8
Nanog,0.8
Gemin4,0.8
AK129341,0.8
Rere,0.8
Fip1l1,0.8
Bmpr1a,0.8
Ager,0.8
Wasf1,0.8
Zmynd19,0.8
Zfp846,0.8
Psat1,0.8
Armc8,0.8
Rad51c,0.8
Extl2,0.8
Banf1,0.8
Rnf144b,0.8
Hdac7,0.8
Hadha,0.8
Kdm2b,0.8
Cdca7,0.8
Wdr89,0.8
Ankrd10,0.8
Cmah,0.8
Tmem65,0.8
Cep57,0.8
Il1rap,0.8
Nap1l3,0.8
Mylip,0.8
Dhx8,0.8
Fancl,0.8
Tpbg,0.8
Slc25a5,0.8
Ska1,0.8
Armc10,0.8
5830433M19Rik,0.8
Fbxo5,0.8
Pias2,0.8
Thoc2,0.8
Dnajc8,0.8
Mrps25,0.8
Nrxn1,0.8
Topors,0.8
Tek,0.8
Orc3,0.8
Tcf3,0.8
Aurka,0.8
Krt6a,0.8
Hoxa3,0.8
Zfp64,0.8
Ppil4,0.9
Zfp691,0.9
Zfp579,0.9
Styk1,0.9
Echdc3,0.9
Syce2,0.9
Krit1,0.9
Dmtf1,0.9
Mpv17l2,0.9
Tbx2,0.9
Ebf3,0.9
Fn3k,0.9
Adamts1,0.9
Rundc3a,0.9
Zfp2,0.9
Dbr1,0.9
Mgst3,0.9
Lass6,0.9
Mbtd1,0.9
Pole2,0.9
Fbxl15,0.9
Nfx1,0.9
Hmgn5,0.9
Creb3l4,0.9
Mphosph9,0.9
Etv3,0.9
Gfm1,0.9
Nars2,0.9
Agrn,0.9
Prmt10,0.9
Zfp408,0.9
Ehf,0.9
Pxmp2,0.9
Nob1,0.9
Srrt,0.9
Cc2d1a,0.9
Tmem47,0.9
Rnps1,0.9
Eed,0.9
Trim71,0.9
Mfn1,0.9
Pde7a,0.9
Drg2,0.9
Prkd1,0.9
Nr2c2,0.9
Cyyr1,0.9
Galnt10,0.9
Zfp800,0.9
Atp6v0a2,0.9
Creb1,0.9
Cnot3,0.9
Zfp516,0.9
Chd4,0.9
Baz2a,0.9
Dlc1,0.9
Vdr,0.9
Carhsp1,0.9
Nr6a1,0.9
Mapk13,0.9
Lamb2,0.9
Ascl2,0.9
Adhfe1,0.9
Specc1l,0.9
Med1,0.9
Prr12,0.9
Psma5,0.9
Grlf1,0.9
Mxra8,0.9
Cep290,0.9
4933407H18Rik,0.9
Satb2,0.9
Abi2,0.9
Asgr2,0.9
Gsk3a,0.9
Rsbn1,0.9
Dctn2,0.9
Pdcd2l,0.9
5830418K08Rik,0.9
Ppih,0.9
Apitd1,0.9
Nr3c1,0.9
Sac3d1,0.9
Zfp354c,0.9
Itga4,0.9
Pfn1,0.9
Fastkd2,0.9
Mgat4a,0.9
Elk4,1.0
Tef,1.0
Zfp13,1.0
Lhx9,1.0
Gatad1,1.0
Epas1,1.0
Ikzf1,1.0
Phf7,1.0
Elf5,1.0
Sult2b1,1.0
Mll1,1.0
2900056M20Rik,1.0
Zkscan1,1.0
Dsg2,1.0
Lpin3,1.0
Fmn1,1.0
Trim27,1.0
Chd5,1.0
Ampd3,1.0
Il2rg,1.0
Dbp,1.0
4930432K21Rik,1.0
Cecr6,1.0
Dyrk1b,1.0
Glis2,1.0
Podxl,1.0
5730559C18Rik,1.0
Foxp1,1.0
1700027A23Rik,1.0
