TF,Gene,Confidence
Atf6,Rfc2,High
Atf6,Rnf19A,High
Atf6,Rora,High
Atf6,Sbds,High
Atf6,Sde2,High
Atf6,Sptbn1,High
Atf6,Stx12,High
Atf6,Trap1,High
Atf6,Ubap1,High
Atf6,Ubr4,High
Atf6,Vapb,High
Atf6,Wbp1L,High
Atf6,Ablim3,High
Atf6,Amotl1,High
Atf6,Arhgef34P,High
Atf6,Asah1,High
Atf6,Atad2,High
Atf6,Atp1B1,High
Atf6,Calcoco2,High
Atf6,Cdc37L1,High
Atf6,Cyfip2,High
Atf6,Ddx3X,High
Atf6,Dsel,High
Atf6,Ern1,High
Atf6,Fat1,High
Atf6,Gab2,High
Atf6,Gtpbp4,High
Atf6,Hbs1L,High
Atf6,Klf9,High
Atf6,Ldha,High
Atf6,Mapk1Ip1L,High
Atf6,Myh9,High
Atf6,Myo1B,High
Atf6,Nampt,High
Atf6,Ndfip2,High
Atf6,Nt5C2,High
Atf6,Nup50,High
Atf6,Ppa1,High
Atf6,Rell1,High
Atf6,Serpina13P,High
Atf6,Slc16A1,High
Atf6,Slc25A4,High
Atf6,Tcaf2P1,High
Atf6,Tgfbr3,High
Atf6,Tstd2,High
Atf6,Tyw1,High
Atf6,Zc3H12B,High
Atf6,Arpp21,High
Atf6,Acox3,High
Atf6,Adgrd1,High
Atf6,Arg2,High
Atf6,Atp4A,High
Atf6,Atp9A,High
Atf6,Ccser2,High
Atf6,Coro1C,High
Atf6,Cpt1A,High
Atf6,Dhcr7,High
Atf6,Dlx6,High
Atf6,Elovl5,High
Atf6,Enthd1,High
Atf6,Glce,High
Atf6,Gng4,High
Atf6,Guca2A,High
Atf6,Hspa9,High
Atf6,Irf6,High
Atf6,Jade1,High
Atf6,Nbat1,High
Atf6,Nupr2,High
Atf6,Panx1,High
Atf6,Pdyn,High
Atf6,Prelid2,High
Atf6,Rasef,High
Atf6,Rhou,High
Atf6,Rnf157,High
Atf6,Rph3Al,High
Atf6,Slc1A2,High
Atf6,Spag9,High
Atf6,Thbd,High
Atf6,Tmem229A,High
Barhl1,Atp2B3,High
Barhl1,Barhl1,High
Barhl1,C11Orf87,High
Barhl1,C1Orf61,High
Barhl1,Cacna1B,High
Barhl1,Cdh10,High
Barhl1,Dlx6,High
Barhl1,Fgf3,High
Barhl1,Gucy1B2,High
Barhl1,Kcnk9,High
Barhl1,Kncn,High
Barhl1,Lhx1,High
Barhl1,Lhx5-As1,High
Barhl1,Lman1L,High
Barhl1,Neurod2,High
Barhl1,Nptx1,High
Barhl1,Nron,High
Barhl1,Otx2,High
Barhl1,Pax6,High
Barhl1,Prmt8,High
Barhl1,Prr35,High
Barhl1,Rax2,High
Barhl1,Rbfox3,High
Barhl1,Scrt1,High
Barhl1,Snap91,High
Barhl1,Uncx,High
Barhl1,Zic3,High
Barhl1,Zic5,High
Barhl2,Barhl1,High
Barhl2,Barhl2,High
Barhl2,Blacat1,High
Barhl2,Ca10,High
Barhl2,Cdh18,High
Barhl2,Cdh7,High
Barhl2,Gabrb2,High
Barhl2,Gria2,High
Barhl2,Grm4,High
Barhl2,Htr1A,High
Barhl2,Insl6,High
Barhl2,Kctd8,High
Barhl2,Nccrp1,High
Barhl2,Nhlh2,High
Barhl2,Nptx1,High
Barhl2,Otx2,High
Barhl2,Slc1A6,High
Barhl2,Snap91,High
Barhl2,Tfap2B,High
Barhl2,Unc13C,High
Barhl2,Uncx,High
Barhl2,Vwc2,High
Barhl2,Xkr7,High
Barhl2,Zic3,High
Barhl2,Fgf3,High
Barhl2,Kcnk9,High
Barhl2,Nkx2-2,High
Barhl2,Rbfox3,High
Barhl2,Scrt1,High
Barhl2,Stxbp5L,High
Barhl2,Syt4,High
Barhl2,Cdh22,High
Barhl2,Linc01423,High
Barhl2,T,High
Barhl2,Linc00951,High
Batf,Cd44,High
Batf,Impdh1,High
Batf,Loxl4,High
Batf,Mir4435-2Hg,High
Batf,Stx11,High
Batf,Tnfrsf8,High
Batf,Abi3,High
Batf,Ampd3,High
Batf,Ap5B1,High
Batf,Arfgef3,High
Batf,Arl14,High
Batf,Atg9B,High
Batf,Bag3,High
Batf,Bcl6,High
Batf,Best3,High
Batf,Btk,High
Batf,C2Orf81,High
Batf,Ccl7,High
Batf,Cidec,High
Batf,Cldn4,High
Batf,Clic1,High
Batf,Cpne4,High
Batf,Cthrc1,High
Batf,Cxcr6,High
Batf,Dlgap1-As2,High
Batf,Dusp13,High
Batf,Elf4,High
Batf,Epcam,High
Batf,Erc2,High
Batf,Evi2B,High
Batf,Fam110A,High
