source,target,p-value,model
Yap1,Cdk6,5.876620703654255e-08,-1
Onecut1,Itih1,5.927172243938555e-08,-1
Onecut1,Agxt2,5.998769622531458e-08,-1
Esr1,Echdc3,6.31818113053714e-08,-1
Ets1,Wwtr1,6.620529650552072e-08,-1
Tcf7l1,Trib3,7.113433395735327e-08,1
Olig1,Masp2,8.48563824795436e-08,1
Olig1,Prr16,8.601178598353268e-08,1
Zfp217,S100a16,8.959645683966167e-08,-1
Tcf21,Wwtr1,9.241550337493425e-08,-1
Nfyb,Tmem209,9.243447775783379e-08,-1
Ets1,Amotl2,9.80845857132066e-08,-1
Mybbp1a,Rfc3,9.883442137624232e-08,-1
Yap1,Efemp1,1.0039848416041351e-07,1
Ppargc1a,Usmg5,1.2247017039975764e-07,-1
Stat6,Mmd2,1.244562581241552e-07,-1
Olig1,Slc17a3,1.2622031241997868e-07,1
Zfp148,Naa15,1.3485442849709766e-07,-1
Onecut1,Proc,1.505529376287303e-07,-1
Hlf,Aass,1.5359801144249479e-07,-1
Tcf21,Pcolce,1.5742856557499025e-07,-1
Onecut1,Bhmt2,1.6189213632277598e-07,-1
Tcf7l1,Nid2,1.6304464883737993e-07,1
App,Gas6,1.644757986065804e-07,-1
Olig1,Agxt2l1,1.6575381407076373e-07,1
Onecut1,Mst1,1.7534968514358234e-07,-1
Tcf7l1,Car2,1.9258301821122962e-07,1
Olig1,Inca1,1.9852689462877225e-07,1
Olig1,Il1rap,2.1434343102146525e-07,-1
Olig1,5033411D12Rik,2.2071970347694386e-07,1
Onecut1,Lrit1,2.23990777733817e-07,-1
Olig1,Cfhr3,2.2734126808952666e-07,1
Mlxipl,Pccb,2.2851539386475436e-07,-1
Kdm3a,Gtf2e2,2.3443487613482702e-07,-1
Olig1,Ces1c,2.4668702835908047e-07,1
Tcf7l1,Slc35c2,2.5007765316278955e-07,1
Olig1,Haao,3.123983370170239e-07,1
Kdm3a,Srsf11,3.225212480588333e-07,1
Kdm3a,Pex11b,3.291561543879557e-07,-1
Olig1,Vsig4,3.345149741500582e-07,1
Prdm4,Ldhd,3.3527135519659423e-07,-1
Olig1,Lrit1,3.502202398073946e-07,1
Tcf7l1,Pgap2,3.548938380777852e-07,1
Nfyb,Tsr1,3.6844053319407103e-07,-1
Ets2,Mcl1,3.7102241816954813e-07,-1
Gzf1,Cd5l,3.911456196724026e-07,-1
Onecut1,Aspdh,3.994561181203117e-07,-1
Zfp281,Phldb2,4.1704011691081154e-07,1
Taf13,Wbp4,4.215945248096271e-07,1
Irf6,Hook1,4.336943125599112e-07,-1
Creb1,Fn1,4.351067153619988e-07,-1
Olig1,Bhmt2,4.78070483464178e-07,1
Esrra,Dlst,6.0191156006536e-07,-1
Olig1,Nlrp12,6.058701116450519e-07,1
Smarcc1,Atic,6.166529784128689e-07,-1
Tcf21,Sparc,6.222401114093025e-07,-1
Hlf,Rpl7a,6.282994332509764e-07,-1
Onecut2,Cyp3a11,6.321408511206715e-07,-1
Zbtb16,Ces1d,6.327455409414082e-07,1
Olig1,Ugt3a2,6.533595885730137e-07,1
Sox13,Mrps7,6.534258875113205e-07,-1
Olig1,Slc1a2,6.574685425909594e-07,1
Tcf7l1,Mmp15,6.677948813288091e-07,1
Snai2,Nudt6,6.687797169305681e-07,1
Gzf1,Fggy,6.87688847277971e-07,-1
Irf5,Ablim3,7.289301800237409e-07,-1
Olig1,9130409I23Rik,7.718482125717788e-07,1
Ppard,Gna11,7.860133838148696e-07,-1
Ahctf1,Eed,7.93252805114887e-07,-1
Zbtb42,Anxa3,8.053323501530698e-07,-1
Pias2,Tapbp,8.480945813696947e-07,-1
Kdm3a,Fubp1,8.949586997174987e-07,1
Fubp1,Kdm3a,8.949586997174987e-07,1
Olig1,Lipc,9.406829421873379e-07,1
Sox9,Perp,9.750088194784988e-07,-1
Nfib,Sparc,1.0263655145329172e-06,-1
Kdm3a,Frg1,1.0571055660142662e-06,1
Klf15,Ggcx,1.072237690374279e-06,-1
Olig1,Slco1b2,1.0753878322069558e-06,1
Rxrg,Prr16,1.0831645519661979e-06,-1
Sod2,Prr16,1.0831645519661979e-06,-1
Thoc1,Rnmt,1.1004031190022612e-06,-1
Elf1,Ap1g2,1.1246699210978374e-06,-1
Ddx1,Pias2,1.1393418496117506e-06,-1
Pias2,Ddx1,1.1393418496117769e-06,-1
Olig1,Adh6-ps1,1.207343380492326e-06,1
Tcf7l1,Mylip,1.2215454329683847e-06,1
Fubp1,AU019823,1.2259227920766462e-06,-1
Tcf7l1,Pstpip2,1.2429757747437627e-06,1
Irf5,Inf2,1.2780315409049227e-06,-1
Zkscan14,Col1a2,1.300470880474451e-06,-1
Onecut1,Cml2,1.3676364639246657e-06,-1
Nr1h4,Tjp3,1.3879513983940412e-06,-1
Naca,Acsm5,1.414905628478702e-06,1
Rxrg,Fitm1,1.4415647921902619e-06,-1
Sod2,Fitm1,1.4415647921902619e-06,-1
Snai2,Myh10,1.5191392928318584e-06,1
Tcf7l1,Pard3,1.5521051149935856e-06,1
Rfxank,Nap1l1,1.5552565847023e-06,-1
Rxrg,Bhmt,1.5684452668439559e-06,-1
Sod2,Bhmt,1.5684452668439559e-06,-1
Nolc1,Atic,1.6464520576208992e-06,-1
Cry1,Tex10,1.7288960029079507e-06,-1
Prox1,Gcgr,1.7555437941534762e-06,-1
Onecut1,Cpn2,1.8812430945436242e-06,-1
Onecut1,Rcl1,1.898003283879063e-06,-1
Pias2,Tada2a,2.0326501216817326e-06,-1
Onecut1,Dmgdh,2.2073498914124985e-06,-1
Prox1,Slc25a47,2.2123769639535564e-06,-1
Onecut1,Etnk2,2.291081512120462e-06,-1
Olig1,Cyp4a12a,2.385547721683129e-06,1
Kdm3a,1700029F09Rik,2.4053677470531965e-06,-1
Olig1,Hao1,2.5037319676860377e-06,1
Yap1,Prss23,2.5222302085616786e-06,-1
Tcf7l1,Capn2,2.539524894563432e-06,1
Bdp1,Eed,2.577299892334251e-06,-1
Olig1,Mup10,2.790403099731627e-06,1
Zfml,Tubgcp5,2.823060864822067e-06,-1
Olig1,1700001C19Rik,2.8378536861499078e-06,1
Onecut1,Prox1,3.009771924329415e-06,-1
Nfil3,Shroom1,3.0351949155264298e-06,-1
Epas1,Ech1,3.1041425094257603e-06,1
Nr0b2,Gm4788,3.1937522309757175e-06,-1
Smad4,Timd2,3.2192410369007783e-06,1
Csda,Hacl1,3.3545372276624317e-06,1
Ccnt1,Ufsp2,3.4077226525048816e-06,-1
Olig1,B3galt1,3.4284856634249853e-06,1
Hnf1b,5033411D12Rik,3.6194868618207295e-06,-1
Zhx1,Letmd1,3.631734164131452e-06,-1
Nfib,Kank2,3.879999510780831e-06,-1
Ubp1,Eml4,4.006076491630314e-06,-1
Nr0b2,Leap2,4.0405120527395764e-06,-1
Onecut1,F13b,4.2162392799188286e-06,-1
Tmpo,Smc4,4.251786764059093e-06,-1
Onecut1,Plg,4.298475936137507e-06,-1
Zkscan14,Cnnm2,4.653725851349841e-06,-1
Onecut1,B3galt1,4.656709197576061e-06,-1
Zfp410,Tns1,4.789170179876507e-06,1
Kdm3a,Ythdc1,4.832171839966574e-06,1
Onecut1,Glyat,5.246665661646513e-06,-1
Zbtb42,Wfdc2,5.3474583125027314e-06,-1
A930001N09Rik,Alg8,5.354173502127963e-06,-1
Irf5,Inmt,5.882356471746378e-06,-1
Zbtb16,Inmt,5.9647024218424954e-06,1
Kdm3a,Atr,6.027778185390095e-06,1
Esr1,Hoga1,6.0622291020568665e-06,-1
Tcf7l1,Ryk,6.370701254515709e-06,1
Olig1,Slc26a1,6.410285542550739e-06,1
Rxrg,Tfr2,6.4975252547193075e-06,-1
Sod2,Tfr2,6.4975252547193075e-06,-1
Rbck1,Nosip,6.735576891903956e-06,-1
Onecut1,Tat,6.761565890331982e-06,-1
Onecut1,Abcb11,6.8491815671425075e-06,-1
Zfp148,Cdk8,7.013190204737102e-06,-1
Yap1,Dock1,7.064861715900863e-06,-1
Zfp410,Prelp,7.800725296161599e-06,1
Atf5,Dennd2d,8.01918354672951e-06,-1
Onecut2,Pipox,8.03588855752485e-06,-1
Taf1d,Haus3,8.107270109176717e-06,-1
Hhex,Acadsb,8.262661248893785e-06,-1
Tcf7l1,Abhd3,8.34931258921797e-06,1
Onecut1,Pzp,8.36703293507761e-06,-1
Nr1h3,Gchfr,8.58377311028738e-06,1
Kdm3a,Mdc1,8.607622259288051e-06,-1
Mybbp1a,Orc2,8.931005590274113e-06,-1
Zkscan14,Fstl1,9.048166789512791e-06,-1
Nr0b2,Habp2,9.296022084695928e-06,-1
Rxrg,Slc1a2,9.300338396179773e-06,-1
Sod2,Slc1a2,9.300338396179773e-06,-1
Cry1,Snrpa1,9.33897502600545e-06,-1
Nr0b2,F12,1.0428537800050244e-05,-1
Hnf4a,Tjp3,1.0552488153797678e-05,-1
Mybbp1a,Mcm3,1.0864966582045602e-05,-1
Tcf7l1,Nid1,1.1105697778359103e-05,1
Onecut1,Masp2,1.1456525511951182e-05,-1
Onecut2,Ugt2a3,1.1719492012233993e-05,-1
