source,target,p-value,model
Xbp1,Bhlha15,1.87979893498771e-08,-1
Rarg,Rbbp8Nl,1.9397098754592853e-08,-1
Elf4,Lamp5,1.961781417462671e-08,-1
Elk1,Smg7-As1,2.0553820706704773e-08,-1
Rbbp5,Eif5A2,2.156383668779186e-08,-1
Rb1,Lrba,2.254472891570511e-08,-1
Atf6,Rasef,2.344176238377527e-08,-1
Stat2,Rab39B,2.5380465909725074e-08,-1
Esrra,Tbcc,2.7257340835126155e-08,1
Creb3L2,Senp2,2.9434790248585728e-08,-1
Rarg,Prdm16,3.0877437151725607e-08,1
Etv6,Csf3R,3.176006466485094e-08,1
Elk4,Fbxo38,3.228887657724287e-08,-1
E2F2,Kif20B,3.2455206735520214e-08,-1
Znf384,Syt3,3.403913495379101e-08,-1
Taf1,Gpatch8,3.482308924028369e-08,-1
E2F2,Gins3,3.69038884223447e-08,-1
Nr2C2,Mapk8Ip3,3.780558149102331e-08,-1
Nrf1,Pde7A,3.872828280914663e-08,-1
Hcfc1,Znf324B,3.8736201074891204e-08,-1
Taf1,Senp7,4.142119074106647e-08,-1
Esrra,Hsd3B7,4.286992814988594e-08,1
Rarg,Boc,4.339495246552669e-08,-1
Nr2F6,Acr,4.523939399054568e-08,-1
Rarg,Ppp1R9B,4.637311492720618e-08,-1
Nrf1,Rusc2,4.6967667567153764e-08,-1
Thap1,Elmod1,5.0026217746529365e-08,-1
Nrf1,Mfsd8,5.057842746064398e-08,-1
Tbp,Bcar3,5.281566025261083e-08,-1
Tbp,C1Orf109,5.4709194178498865e-08,-1
Elk4,Rnf139,5.476671710950113e-08,-1
Zfp62,Znf426,5.803859456447323e-08,1
Nr1H3,Cryba4,5.9472613671930285e-08,-1
Tcfl5,Gsk3B,6.106025461170659e-08,-1
E2F2,Cenpl,6.443396327855224e-08,-1
Cebpg,Tox3,6.772400462711938e-08,-1
Stat1,Parp8,7.02492266989875e-08,-1
Znf76,Snx21,7.065323424307856e-08,1
Creb3,Arid3A,7.256971454422277e-08,-1
Rxra,Linc00470,7.344982290823746e-08,-1
Gmeb2,Cast,7.345144550011414e-08,-1
Ep300,Tmco1,7.39130658523309e-08,-1
Creb3,Ikbip,7.425250396814648e-08,1
Znf143,Kcmf1,7.431390510463909e-08,-1
Rfx5,Atad2,7.541728703759326e-08,-1
Polr2A,Igf2R,7.964961145869552e-08,-1
Rarg,Cadm3,8.283908741544768e-08,-1
Six5,Sall2,8.343470679739974e-08,-1
Foxo1,Actn3,8.859947844673195e-08,-1
Rb1,Atg5,8.963122974116174e-08,-1
Cbx7,Cplx1,9.187632677839161e-08,-1
Rbbp5,Tmem167B,9.276404874711386e-08,-1
Tfdp1,Kif20B,9.454624052103067e-08,-1
E2F2,Dsn1,9.504840155762323e-08,-1
Tbp,Epc2,9.86297401817386e-08,-1
Creb3L2,C2Orf42,1.0142594870901819e-07,-1
Hinfp,St20,1.0542843306949473e-07,-1
Irf4,Sprr4,1.0585798013346631e-07,-1
Hnf1A,Serpinf1,1.0640002956286894e-07,1
Taf1,Safb2,1.0751193983258052e-07,-1
Creb3,Mapre1,1.1511561805531371e-07,1
Cdx1,Krt75,1.1578991150942617e-07,-1
Mecom,Steap1B,1.1827145070653728e-07,1
Prdm16,Krt19,1.1884142781890245e-07,-1
Rb1,Lmbr1,1.212794926427418e-07,-1
Rbbp5,Ppic,1.2201786884614933e-07,-1
Stat1,Cd74,1.2258222545493052e-07,-1
Rfx5,Ndufs2,1.239429191288094e-07,-1
Nrf1,Znf500,1.2406667486728413e-07,1
Nrf1,Dgka,1.2448538736535874e-07,-1
Sp1,Rnf214,1.2747757134168306e-07,-1
Rb1,Adgrg2,1.30619851312908e-07,1
Tfdp1,Tmpo,1.3406565333145507e-07,-1
Six5,Xiap,1.342187488399148e-07,-1
Creb3,Bcl3,1.4362338511358763e-07,-1
Hcfc1,Rpl13A,1.4561460273233218e-07,1
Tbp,Sft2D1,1.4823675477059483e-07,-1
Zfp62,Znf250,1.5604092228735119e-07,-1
Tbp,Cdc42Se1,1.56482860200728e-07,-1
Etv3,Tyro3P,1.6145849720821207e-07,-1
Taf1,Otof,1.6351827930786363e-07,-1
Sp1,Cbx7,1.652168336486959e-07,-1
Rbbp5,Rab28,1.6592013746113216e-07,-1
Nfyb,Rcan3,1.698788692512445e-07,1
Rela,Pcyt1A,1.6995275309644933e-07,-1
Taf7,Znf354A,1.7730849326317288e-07,-1
Tfdp1,Cnnm2,1.7857174298533626e-07,-1
Nfkb2,Evx1,1.7867623671113304e-07,-1
Esrra,Cda,2.0398403115195622e-07,1
Creb3L2,Linc00680,2.1083288305981164e-07,-1
Stat1,Gngt2,2.1267222793928067e-07,-1
Esrra,Necab3,2.146337837849569e-07,1
Tbp,Morc2,2.1749827955535277e-07,-1
Rbbp5,Lrif1,2.2292457875071026e-07,-1
Elk3,Tnfrsf11A,2.2480491067014504e-07,-1
Rb1,Tbcb,2.295024042836004e-07,1
Creb3,Lpcat1,2.3104837835182952e-07,-1
Esrra,Ubac1,2.3164310928185924e-07,1
Rbbp5,Ostc,2.416163039222577e-07,-1
