source,target,p-value,model
Cxxc1,Polr3c,4.239123625032795e-05,-1
Nr3c2,Nup107,4.295007342325237e-05,-1
Ilf3,Tbcd,4.370172073996755e-05,1
Ssrp1,Nop58,4.438841902406953e-05,-1
Cxxc1,Tomm40,4.442083755240941e-05,1
Suz12,Hnrnpa1,4.4630719484714135e-05,-1
Trim28,Akr1c14,4.4874191949188814e-05,1
Ccnt1,Cux1,4.5229405437791985e-05,-1
Klf6,Nedd9,4.559179600885797e-05,1
Gzf1,Crp,4.6656241433335145e-05,-1
Esr1,Fgl1,4.7028308458375525e-05,-1
Npm1,Ddx10,4.7063330320681737e-05,-1
Med6,Taf2,4.745239358797268e-05,-1
Taf2,Med6,4.745239358797268e-05,-1
Rfxap,Pgam5,4.97530473907898e-05,1
Hdgf,Hltf,4.9862548436927435e-05,-1
Hltf,Hdgf,4.986254843692763e-05,-1
Hmgb2,Topbp1,5.212225283513205e-05,-1
Pa2g4,Naa25,5.2132266701353806e-05,-1
Set,Nop58,5.22190686838516e-05,-1
Nostrin,Pon3,5.289740944198201e-05,1
Dmtf1,Cog5,5.3397644379266475e-05,-1
Nfx1,Spata5,5.4329429157502064e-05,-1
E2f8,Gpsm2,5.517408225368232e-05,-1
Ruvbl2,Whsc2,5.519971463494741e-05,-1
Phf21a,Zfp280d,5.559402812530553e-05,-1
Zfp280d,Phf21a,5.5594028125307005e-05,-1
Tcf3,Cad,5.649116018831451e-05,-1
Med6,Ssb,5.6887351328739903e-05,-1
Dnmt1,Snrpg,5.722612139703022e-05,-1
Hmgb2,Rpl7,5.748769637015289e-05,-1
Hmgb1,Rpl23a,5.7645034029957855e-05,-1
Drap1,Impa1,5.7865818792300775e-05,-1
Tmpo,Hnrnpf,5.824403156753396e-05,-1
Hnf4a,Cyp3a13,5.824784029010181e-05,-1
Sin3a,Msh2,6.051418942442859e-05,-1
Esr1,Apon,6.115231024702581e-05,-1
Esr1,Pglyrp2,6.230345896347206e-05,-1
Zfpm1,Glyctk,6.496222743425123e-05,-1
Zfp422,Rbbp7,6.545977116011082e-05,-1
Zfp750,Hamp,6.56083879842803e-05,-1
Mlx,Bak1,6.691736434105834e-05,-1
Foxa1,C77080,6.69877694869947e-05,-1
Mybbp1a,Nob1,6.772800901675533e-05,-1
Zbtb16,Steap4,6.858734581302263e-05,-1
Rnf141,Aqr,7.155055989080964e-05,1
Mef2a,Msn,7.171777299761755e-05,1
Hmgb2,Ncapd2,7.197764894367693e-05,-1
Nr3c2,Cct5,7.294088856159751e-05,-1
Suz12,Topbp1,7.305763816809747e-05,-1
Cxxc1,Clpb,7.38798616339723e-05,1
Atf1,Hnrnpa3,7.409464369255157e-05,1
Nkrf,Naa38,7.41434454017105e-05,-1
Zfp653,Exosc10,7.415054223765362e-05,1
Gabpa,Crbn,7.567245789274212e-05,1
Atf1,Rpl15,7.646694689700724e-05,1
Esr1,Slc6a13,7.664305137860221e-05,-1
Npm1,Rpl8,7.77386447442469e-05,-1
Foxa1,Erbb3,7.877487059808035e-05,-1
Nfx1,2700050L05Rik,7.98891836063255e-05,-1
Ssrp1,Trim28,7.999056861788598e-05,-1
Trim28,Ssrp1,7.999056861789436e-05,-1
Atf1,Dhx15,8.04209423416006e-05,1
Etv3,Birc3,8.148479725049615e-05,-1
Mycl1,Atp6v1d,8.16000004650142e-05,1
Stat6,Acyp1,8.417453434883234e-05,-1
Esr1,Gys2,8.521721185841611e-05,-1
Rorc,Tubb5,8.65554857066677e-05,-1
Hnf4a,Ces1g,8.779722513730923e-05,-1
Hmgb2,Terf1,8.814359233446213e-05,-1
Smad4,Pzp,9.072939357463701e-05,-1
Zfpm1,Agpat3,9.384824093681168e-05,-1
Rxrg,Smcr7,9.531213873394767e-05,-1
Suz12,Usp37,9.676302225432251e-05,-1
Ruvbl2,Ddx56,9.67762154556096e-05,-1
Med6,Dnttip2,9.715878264924667e-05,-1
Bmi1,Klhl7,9.894799338842101e-05,-1
Stat6,Tspo,0.00010200911979470353,-1
Rela,Bicd2,0.0001029056152626184,1
Zfp280d,Rfx7,0.00010310657441110695,-1
Sox9,Tsta3,0.00010322760981174306,-1
Suz12,Mtf2,0.0001036273903241651,-1
Cc2d1b,Tbcd,0.00010480201433156728,-1
Esr1,Masp2,0.00010499864296578416,-1
Gabpb1,Itm2b,0.00010768214229602033,-1
Pknox1,Dhx8,0.00011087334964284082,1
Zfp750,Cyp2e1,0.00011214896692624123,-1
Gzf1,Serpina1a,0.00011243033999795527,-1
Zfp771,Trabd,0.00011283243635541115,1
Whsc1,Trip10,0.0001136405116322193,-1
Gtf2b,2810428I15Rik,0.00012072860259042691,-1
Gm98,Nans,0.00012122261790939172,1
Nostrin,Smagp,0.0001263340528686266,-1
Ruvbl2,Hnrnpf,0.00013419126740745114,-1
Mafk,Elovl1,0.00013419253680477228,1
Esr1,Dnase2b,0.00013950322579438506,-1
Taf7,Mtf2,0.00014034552779412722,-1
Zfp280c,Dhx15,0.00014120872351390472,1
Rcor1,Cnot6,0.00014455041783004388,-1
Dmtf1,Wapal,0.00014639747934171241,-1
Stat6,Syngr2,0.00014654451733876557,-1
Ruvbl2,Kat2a,0.00014725331270621465,-1
Rorc,Ddo,0.0001476074711549968,-1
Pcgf6,Nvl,0.00014945966122383364,-1
Etv3,Cd52,0.0001506169863170958,-1
Purb,Zdhhc21,0.0001512744321121576,1
Nfkb1,Tmod3,0.00015174063989143772,-1
Esr1,Timd2,0.00015327692456774665,-1
Hdac3,Snrk,0.00015331529028593006,-1
Safb,Coq10a,0.00015440876643076892,-1
Mafk,Mrps2,0.00015605900325326471,1
Hdac1,Mcm6,0.00015729641367269757,-1
Set,Rsl1d1,0.00015828835288157913,-1
Ruvbl2,Rplp2,0.00015839836924723055,-1
Esr1,Inhbc,0.0001586772250188229,-1
Esr1,Apoc4,0.00015873828137388113,-1
Usf1,Abcf2,0.00016074365737493333,-1
Smarca5,Uba2,0.00017198437607524275,-1
Esr1,Angptl3,0.00017688400027261657,-1
Topors,Taf1d,0.00017805353946540248,-1
Klf6,Junb,0.0001787306811012303,-1
Junb,Klf6,0.00017873068110123508,-1
Gatad1,Mtap,0.00017895212301377852,-1
Smarcc2,ORF61,0.00018008938153024458,-1
Gtf2f2,Pcid2,0.00018047874421976554,-1
Nostrin,Stap2,0.0001805394607486734,-1
Creb3l3,Mgam,0.00018155526983896396,-1
Cdc5l,Rpa2,0.0001817411062635264,-1
Smarca5,Snrpa1,0.0001835163918162474,-1
Hes6,Gcdh,0.0001853029272781785,-1
Pcgf6,Tex10,0.00018563408912404533,-1
Ruvbl2,Sf3a3,0.00018940404832756345,-1
Cxxc1,Dnm2,0.00018989075551645475,1
