training_node.csvsource,target,Input
Batf,Cotl1,High
Batf,Cuedc1,High
Batf,Dhrs9,High
Batf,Doc2B,High
Batf,Dok2,High
Batf,Dtna,High
Batf,Eda2R,High
Batf,Eef1A2,High
Batf,Elk3,High
Batf,Emp3,High
Batf,Eva1B,High
Batf,Fads3,High
Batf,Fam167A,High
Batf,Fbxl16,High
Batf,Gab2,High
Batf,Gba3,High
Batf,Gdf5,High
Batf,Ghr,High
Batf,Git1,High
Batf,Gprin1,High
Batf,Gsn,High
Batf,Has2,High
Batf,Hbegf,High
Batf,Hmga1,High
Batf,Hmox1,High
Batf,Irf1,High
Batf,Isg20,High
Batf,Krt19,High
Batf,Lamc2,High
Batf,Linc00705,High
Batf,Lingo1-As2,High
Batf,Map3K8,High
Batf,Mefv,High
Batf,Metrnl,High
Batf,Miat,High
Batf,Mnt,High
Batf,Muc5Ac,High
Batf,Myrf,High
Batf,Nptxr,High
Batf,Pde1B,High
Batf,Pdgfa,High
Batf,Pdlim7,High
Batf,Pfkp,High
Batf,Pgs1,High
Batf,Pik3R5,High
Batf,Pkm,High
Batf,Pkp3,High
Batf,Plk3,High
Batf,Ppp1R9B,High
Batf,Prdm1,High
Batf,Ptgs1,High
Batf,Ptpn14,High
Batf,Rap1Gap,High
Batf,Rorc,High
Batf,Rps6Ka1,High
Batf,Sbno2,High
Batf,Scgn,High
Batf,Sertad1,High
Batf,Sh2D5,High
Batf,Slc34A2,High
Batf,Slc6A8,High
Batf,Spata12,High
Batf,Steap1B,High
Batf,Ston2,High
Batf,Tmem255B,High
Batf,Tmem92,High
Batf,Tnfaip8,High
Batf,Tnfrsf1A,High
Batf,Trim47,High
Batf,Trim8,High
Batf,Trim9,High
Batf,Trnp1,High
Batf,Tspo,High
Batf,Ttyh3,High
Batf,Unc5B,High
Batf,Vasp,High
Batf,Vdr,High
Batf,Xkr6,High
Batf,Znf436,High
Batf,Adora1,High
Batf,Hspbap1,High
Batf,Procr,High
Batf,Timp1,High
Batf,Tmem54,High
Batf,Relt,High
Batf,Cdkn2A,High
Batf,Gcnt3,High
Batf,Cxcl5,High
Batf,Mmp25,High
Batf,Neto2,High
Batf,Tnfrsf9,High
Bcl3,Apln,High
Bcl3,Atp2B4,High
Bcl3,Csrnp1,High
Bcl3,Dtx4,High
Bcl3,Dusp22,High
Bcl3,Dusp23,High
Bcl3,Efna1,High
Bcl3,Elf3,High
Bcl3,Fam89A,High
Bcl3,Glis3,High
Bcl3,Gpr37L1,High
Bcl3,Gramd1A,High
Bcl3,Hivep1,High
Bcl3,Ier3,High
Bcl3,Il1Rn,High
Bcl3,Junb,High
Bcl3,Kifc3,High
Bcl3,Klhl25,High
Bcl3,Limk2,High
Bcl3,Linc01503,High
Bcl3,Mllt1,High
Bcl3,Mycl,High
Bcl3,Nfil3,High
Bcl3,Nfkbib,High
Bcl3,Nfkbiz,High
Bcl3,Nrxn2,High
Bcl3,Pim3,High
Bcl3,Ppp2R1B,High
Bcl3,Rab27A,High
Bcl3,Rap1Gap,High
Bcl3,Rassf6,High
Bcl3,Sbno2,High
Bcl3,Sema4C,High
Bcl3,Socs3,High
Bcl3,Vcan,High
Bcl3,Wwc1,High
Bcl3,Bcl6,High
Bcl3,Lrg1,High
Bcl3,Plin4,High
Bcl3,Pxdc1,High
Bcl3,Sema4B,High
Bcl3,Slc8B1,High
Bcl3,St6Galnac6,High
Bcl3,Tlcd2,High
Bcl3,Trim69,High
Bcl3,Vegfa,High
Bcl3,Cdc25B,High
Bcl3,Ffar2,High
Bcl3,Fndc4,High
Bcl3,Irf1,High
Bcl3,Isg20,High
Bcl3,Relb,High
Bcl3,Scnn1A,High
Bcl3,Slc38A2,High
Bcl3,Ticam1,High
Bcl3,Tln2,High
Bcl3,Atf5,High
Bcl3,Ccdc33,High
Bcl3,Creb5,High
Bcl3,Cyb561,High
Bcl3,Fam167A,High
Bcl3,Irf2Bpl,High
Bcl3,Kiaa0040,High
Bcl3,Linc00623,High
Bcl3,Notum,High
Bcl3,Rgsl1,High
Bcl3,Ssbp3,High
Bcl3,St3Gal4,High
Bcl3,Steap3,High
Bcl3,Tnfsf10,High
Bcl3,Jakmip2-As1,High
Bcl3,Kndc1,High
Bcl3,Atp11C,High
Bcl3,C1Qtnf1,High
Bcl3,Fcho1,High
Bcl3,Gatad2A,High
Bcl3,Il7,High
Bcl3,Nfkbie,High
Bcl3,Spata13,High
Bcl3,Tnip1,High
Bcl6B,Acvrl1,High
Bcl6B,Arhgap23,High
Bcl6B,Cdr2L,High
Bcl6B,Efnb2,High
Bcl6B,Egfl7,High
Bcl6B,Esam,High
Bcl6B,Fam110D,High
Bcl6B,Nbl1,High
Bcl6B,Nos3,High
Bcl6B,Notch4,High
Bcl6B,Tp53I11,High
Brf2,Mc2R,High
Brf2,Bcar3,High
Brf2,Mepe,High
Canx,Calml6,High
Canx,Cdhr3,High
Canx,Cntfr,High
Canx,Mreg,High
Cbx7,Bcam,High
Cbx7,Cplx1,High
Cbx7,Jade2,High
Cbx7,Prx,High
Cbx7,Pskh1,High
Cdx1,Cdh17,High
Cdx1,Isx,High
Cdx1,Muc2,High
Cdx1,Slc6A7,High
Cdx1,Barx2,High
Cdx1,Ambn,High
Cdx1,Hoxa10,High
Cdx1,Linc01525,High
Cdx1,Mep1A,High
Cdx1,Prl,High
Cdx1,Rbp2,High
Cdx1,Rhov,High
Cdx1,Si,High
Cdx1,Ucn3,High
Cdx1,Chga,High
Cdx1,Misp,High
Cdx1,Reg1Cp,High
Cdx1,Tnfsf15,High
Cdx1,Ush1G,High
Cdx1,Atoh1,High
Cdx1,Linc01281,High
Cdx1,Hoxa13,High
Cdx1,Krt75,High
Cdx1,Krt81,High
Cdx1,C1Orf226,High
Cdx1,Hottip,High
Cdx1,Hoxa6,High
Cdx1,Sdk2,High
Cdx2,Asb10,High
Cdx2,Barx2,High
Cdx2,Hoxc6,High
Cdx2,Isx,High
Cdx2,Linc01525,High
Cdx2,Mc2R,High
Cdx2,Mep1A,High
Cdx2,Myl4,High
Cdx2,Pax9,High
Cdx2,Spata3,High
Cdx2,Atp4B,High
Cdx2,Nlrp13,High
Cdx2,Cpa2,High
Cebpa,Cables1,High
Cebpa,Col26A1,High
Cebpa,Csad,High
Cebpa,Frat1,High
Cebpa,Frat2,High
Cebpa,Ihh,High
Cebpa,Il13,High
Cebpa,Lag3,High
Cebpa,Samd13,High
Cebpa,Slc13A2,High
Cebpa,Lipg,High
Cebpa,Nr2F6,High
Cebpa,Rapgefl1,High
Cebpa,Slc45A3,High
Cebpa,Sned1,High
Cebpb,Ddit4,High
Cebpb,Htr2C,High
Cebpb,Arid5A,High
Cebpb,Fam118A,High
Cebpb,Id2,High
Cebpb,Per1,High
Cebpb,Rhob,High
Cebpb,Tsc22D3,High
Cebpb,Chac1,High
Cebpb,Jun,High
Cebpb,Klf9,High
Cebpb,Linc00869,High
Cebpb,Mefv,High
Cebpb,Nfil3,High
Cebpb,Trib1,High
Cebpb,Zfp36L2,High
Cebpb,Bcl6,High
Cebpb,Chd1,High
Cebpb,Csf3R,High
Cebpb,Dok7,High
Cebpb,Fem1C,High
Cebpb,Glis3,High
Cebpb,Hal,High
Cebpb,Il6R,High
Cebpb,Jdp2,High
Cebpb,Klf15,High
Cebpb,Klhl15,High
Cebpb,Lhx6,High
Cebpb,Linc00623,High
Cebpb,Pde4D,High
Cebpb,Pim3,High
Cebpb,Rbpms,High
Cebpb,Rnf149,High
Cebpb,Rora,High
Cebpb,Sall2,High
Cebpb,Samd4A,High
Cebpb,Siah1,High
Cebpb,Slc16A9,High
Cebpb,Lurap1L,High
Cebpb,Zhx2,High
Cebpb,Abtb2,High
Cebpb,Bcar3,High
Cebpb,Ets2,High
Cebpb,Gch1,High
Cebpb,Gpr19,High
Cebpb,Igf2-As,High
Cebpb,Mir1-1Hg,High
Cebpb,Mmp9,High
Cebpb,Nfat5,High
Cebpb,Rara,High
Cebpb,Rcan1,High
Cebpb,Tcf7L2,High
Cebpb,Tmem200C,High
Cebpb,Ttc39C,High
Cebpb,Wbp1L,High
Cebpb,Znf395,High
Cebpb,Bhlhe40,High
Cebpb,Cxcl2,High
Cebpb,Errfi1,High
Cebpb,Gadd45G,High
Cebpb,Ier2,High
Cebpb,Klf6,High
Cebpb,Atf3,High
Cebpb,Atp1B1,High
Cebpb,Bbc3,High
Cebpb,Btg1,High
Cebpb,Cdc37L1,High
Cebpb,Cdipt,High
Cebpb,Cdkn1A,High
Cebpb,Ezr,High
Cebpb,Fgf19,High
Cebpb,Gjd2,High
Cebpb,Gtf2I,High
Cebpb,Ift43,High
Cebpb,Il1Rn,High
Cebpb,Ing1,High
Cebpb,Klf10,High
Cebpb,Klf5,High
Cebpb,Linc01210,High
Cebpb,Lox,High
Cebpb,Med30,High
Cebpb,Mylk2,High
Cebpb,Ndufa4L2,High
Cebpb,Nppc,High
Cebpb,Ppp4R2,High
Cebpb,Ptp4A1,High
Cebpb,St3Gal4,High
Cebpb,Tac4,High
Cebpb,Ubald1,High
Cebpb,Usp43,High
Cebpb,Vps37B,High
Cebpb,Zfp36L1,High
Cebpb,Zswim6,High
Cebpb,Adm,High
Cebpb,Mxd1,High
Cebpb,Oser1,High
Cebpb,Pfkfb3,High
Cebpb,Wfdc12,High
Cebpb,Fos,High
Cebpb,Cdc34,High
Cebpb,Ern1,High
Cebpb,Tob1,High
Cebpb,Dusp16,High
Cebpb,Phc2,High
Cebpd,Cited2,High
Cebpd,Gadd45G,High
Cebpd,Hal,High
Cebpd,Il1Rn,High
Cebpd,Linc01348,High
Cebpd,Nfil3,High
Cebpd,Nfkbiz,High
Cebpd,Ptp4A1,High
Cebpd,Bcl6,High
Cebpd,Id2,High
Cebpd,Mxd1,High
Cebpd,Chac1,High
Cebpd,Got1,High
Cebpd,Jun,High
Cebpd,Klhdc7A,High
Cebpd,Map3K8,High
Cebpd,Rgmb,High
Cebpd,Socs2,High
Cebpd,Tnfrsf1A,High
Cebpd,Vegfa,High
Cebpd,Mefv,High
Cebpd,Cxcr4,High
Cebpd,Gabarapl1,High
Cebpd,Il1Rap,High
Cebpd,Il1Rl1,High
Cebpd,Klf6,High
Cebpd,Linc00313,High
Cebpd,Rcan1,High
Cebpd,Rhob,High
Cebpd,Tprn,High
Cebpd,Cdkn2D,High
Cebpd,Jund,High
Cebpd,P4Ha1,High
Cebpd,Csf3R,High
Cebpd,Stc1,High
Cebpd,Cebpb,High
Cebpd,Atp2B4,High
Cebpd,Bach2,High
Cebpd,Bcar3,High
Cebpd,Bhlhe40,High
Cebpd,Birc3,High
Cebpd,C1Orf198,High
Cebpd,Cdkn1A,High
Cebpd,Cpt1A,High
Cebpd,Creb5,High
Cebpd,Ddit4,High
Cebpd,Dlgap4,High
Cebpd,Dok7,High
Cebpd,Dsg3,High
Cebpd,Dusp13,High
Cebpd,Elf2,High
Cebpd,Elovl6,High
Cebpd,Fam169A,High
Cebpd,Fbll1,High
Cebpd,Fbxl16,High
Cebpd,Fosl1,High
Cebpd,Glis3,High
Cebpd,Gpam,High
Cebpd,Hipk3,High
Cebpd,Htr2C,High
Cebpd,Ier2,High
Cebpd,Igf2Bp1,High
Cebpd,Klf2,High
Cebpd,Klf9,High
Cebpd,Klhl15,High
Cebpd,Linc00869,High
Cebpd,Lingo1-As1,High
Cebpd,Lox,High
Cebpd,Morf4L2,High
Cebpd,Myom1,High
Cebpd,Nbat1,High
Cebpd,Nfkbia,High
Cebpd,Or13C4,High
Cebpd,Orm1,High
Cebpd,Pde4D,High
Cebpd,Per1,High
Cebpd,Plin4,High
Cebpd,Sall2,High
Cebpd,St3Gal4,High
Cebpd,Stat3,High
Cebpd,Tgfbr3,High
Cebpd,Trib1,High
Cebpd,Trim69,High
Cebpd,Ttc39C,High
Cebpd,Wbp1L,High
Cebpd,Whammp2,High
Cebpd,Ern1,High
Cebpd,Lurap1L,High
Cebpd,Zfp36L2,High
Cebpd,Ift43,High
Cebpd,Pag1,High
Cebpd,Peli1,High
Cebpd,Ubald1,High
Cebpd,Btg1,High
Cebpg,Btf3L4,High
Cebpg,Slc16A1,High
Cebpg,Grhl1,High
Cebpg,Herpud1,High
Cebpg,Kctd15,High
Cebpg,Prdm13,High
Cebpg,Proser2,High
Cebpg,Ptpru,High
Cebpg,Pycr1,High
Cebpg,Ube2Ql1,High
Cebpg,Akna,High
Cebpg,Aktip,High
Cebpg,Atxn2L,High
Cebpg,Bach2,High
Cebpg,Bod1L1,High
Cebpg,Chrna2,High
Cebpg,Ddit3,High
Cebpg,Dusp14,High
Cebpg,Eif1,High
Cebpg,Eif2S2,High
Cebpg,Gpam,High
Cebpg,Gzf1,High
Cebpg,Hspa5,High
Cebpg,Il1A,High
Cebpg,Isoc2,High
Cebpg,Nhlh1,High
Cebpg,Rcc2,High
Cebpg,Rcn1,High
Cebpg,Rrbp1,High
Cebpg,Sesn2,High
Cebpg,Slc38A1,High
Cebpg,Slc7A11,High
Cebpg,Tcea1,High
Cebpg,Tox3,High
Cebpg,Txlng,High
Cebpg,Wipf3,High
Cebpg,Wipi1,High
Cebpg,Cpeb4,High
Cebpg,Creb3L2,High
Cebpg,Lysmd3,High
Cebpg,Scmh1,High
Cebpg,Lhfpl5,High
Cebpg,Znf529,High
Cebpg,Atoh8,High
Cebpg,Atp6V1E2,High
Cebpg,Tubb2B,High
Cebpg,Rrp1B,High
Cebpg,Atf4,High
Cebpg,Cdk14,High
Cebpg,Mrpl49,High
Cebpg,Bcl7A,High
Cebpg,Bod1,High
