GeneSymbol,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11
Cep55,-0.6011057,0.9239018,-0.7468472,1.0059391,-0.51142967,1.0708905,-0.9721269,0.83407384,-0.62214625,-0.34965086,-0.3686942,0.9107995
Cep57,0.14137787,0.9060639,0.25278485,0.75775117,0.4952118,0.87704074,0.28714696,0.8729601,0.1402149,0.11557717,0.6878721,0.8496679
Cep68,0.42225298,0.12245113,0.40452534,0.018813886,0.12190789,-0.043930292,-0.3545675,-0.011416316,0.43792093,0.2929394,0.4522092,-0.12000571
Cept1,0.18421832,-0.2126324,0.092540495,0.42811364,0.18421832,-0.2126324,0.100183636,0.26665998,-0.20028949,0.7832669,0.05451774,1.0095379
Cercam,-0.26372662,-0.60040945,-0.27337742,-0.45084792,-0.113522,-0.3304801,0.065152705,-0.027759716,0.09723079,-0.3990094,0.2520085,-0.18909235
Ces1d,-0.10128126,-0.055385515,-0.7332471,0.16478309,-0.5749894,0.3229637,-0.007702984,0.55281657,0.24958095,0.78752756,-0.781475,0.54595256
Cetn2,0.40367147,0.14139959,0.31373706,-0.03399375,0.40592024,0.30260617,0.32809103,-0.75376165,0.57792526,-0.89566594,0.2749401,-0.19741918
Cetn3,0.34299558,0.5179277,0.34709743,0.47189814,0.34867537,0.4952309,0.23660801,-0.10601461,0.40389875,-0.5324845,0.26884726,0.23967417
Cfdp1,0.5675547,1.2306238,0.574843,0.8093559,0.6415495,1.0442417,0.38988736,0.010256145,1.2796767,-0.4508623,-0.47160602,0.11194724
Cfh,-0.5584143,-0.14463997,-0.8462646,-0.073335096,-1.4756583,0.36027896,-0.1665852,0.45938438,0.239436,0.4270277,-0.33725724,0.40791965
Cfl1,0.2913419,0.23318747,0.23470263,0.09753104,0.45546758,0.33138865,0.43126327,0.84158194,0.28359997,0.24686386,0.66666925,-0.14811714
Cfl2,0.14270157,-0.20938565,0.12497393,-0.3130229,-0.15764353,-0.37576705,-0.5033204,-0.017423779,-0.056041263,0.14809334,0.48746836,-0.14078389
Cflar,0.1386798,0.10945115,0.051936246,-0.44780493,-0.6748919,0.23512068,-0.1171963,-0.19187869,0.6390958,1.0164711,0.6072532,0.9129937
Cfp,-0.5131024,-0.68241006,-0.47945717,-0.71465236,-0.9575689,-0.61500835,0.11115814,0.27984917,-0.42980844,-0.0354139,-0.8289779,-0.07699245
Cgnl1,-0.31103104,0.15856397,-0.20383334,0.20214729,-0.4538568,0.4405647,1.1107202,-0.061170973,0.22052436,0.34917688,-0.007823342,0.14337645
Cgref1,0.03432908,0.23369844,0.02066387,0.23809381,-0.012326898,0.24870506,-0.024287904,-0.90436035,0.03736452,-0.6144693,-0.016124198,-0.2978121
Cgrrf1,-0.10738773,-0.121313274,0.02193344,0.3565274,-0.25343797,0.17488714,0.44778636,-0.08035262,0.9279369,-0.35229176,-0.92087597,-0.117021814
Chaf1b,-0.43631694,1.2878641,-0.5077638,1.4430325,-0.17487091,1.2006258,-0.6044373,0.47918326,-0.60946584,-0.23433171,-0.24836645,0.6891438
Chchd10,-0.06457814,-0.020913571,0.041879155,-0.043459952,0.5459318,-0.2895617,-0.7256062,-0.32717645,0.50435054,-0.22010721,0.5796123,-0.5412399
Chchd3,0.076247565,-0.00050878525,0.7888704,0.5463539,-0.30339414,0.03296489,-0.54723215,-0.4386937,-0.5142006,-0.25821042,-0.39882764,-0.7840791
Chchd4,-0.41340983,0.7020069,-0.41340983,0.7020069,0.28165808,-0.08470252,0.28874373,-0.09239596,-0.031017845,-0.2216674,0.032494053,-0.85155153
Chchd7,-0.06365893,-0.15924907,-0.36879405,0.26950997,-0.06365893,-0.15924907,-0.06365893,-0.15924907,0.40442574,1.1937602,0.6781829,-0.22106887
Chd6,0.31215042,0.37710327,0.18943155,0.34135717,0.46271342,0.5942235,0.478185,0.84490335,0.03584992,-0.040914208,0.538067,0.57935494
Chek2,-0.5993919,0.18611915,-0.7051138,0.34478462,-0.93846154,0.30098477,-1.2066164,0.21191724,-0.2886714,-0.16500197,-0.06684657,0.13411984
Chfr,-0.24622935,0.05843191,0.28517038,-0.10479103,0.0048124027,-0.11844042,-0.30870235,0.6891203,-0.015478486,0.17029974,0.5143541,0.42050642
Chid1,-0.51564884,-0.67053837,-0.3764001,0.11876154,-0.51564884,-0.67053837,-0.4712491,-0.31217557,0.2556553,-1.2403436,0.01923122,-0.46493578
Chmp1a,0.23958889,0.040987253,0.24789676,-0.011812374,0.3548228,0.29384968,0.34758282,0.2621722,-0.43950725,0.20482935,0.11402191,-0.078251556
Chmp1b,0.18443088,-0.42097765,-0.3880918,-0.103376165,0.16541365,-0.20948713,-0.098606385,-0.73563474,0.24393281,0.2941171,0.52893984,-0.81495786
Chmp2a,-0.48457563,-0.5844588,-0.3861717,-0.20851965,-0.09660057,0.09616144,-0.13149735,-0.12075488,0.23930639,0.11584963,0.1587514,-0.12447645
Chmp2b,-0.7197018,-0.16563147,-0.33859897,0.4143079,-0.3546429,0.041429818,0.45808268,-0.61819756,0.09926843,0.26126522,0.001042312,-0.15348193
Chmp3,0.050571017,0.5488649,0.52390385,0.13251352,0.715294,0.2598734,-0.054755367,0.02958037,0.20214164,0.81837654,-0.046684913,-0.5523021
Chmp6,0.20373276,-0.10549334,0.2568022,0.21770042,0.10696149,0.19802813,-0.088023305,-0.22640266,0.36560503,0.37287736,-0.027827239,-0.022059418
Chordc1,0.08295987,-0.16514753,0.57628936,0.3667069,0.55140287,0.25442946,0.59140855,-0.053715594,0.68073976,-0.38550526,0.9144937,-1.1310097
Chpf2,0.06910681,-0.3442282,0.06910681,-0.3442282,0.06910681,-0.3442282,0.49082163,0.3170597,-0.089385875,-0.003473632,-0.27297407,-0.17825778
Chpt1,0.42401427,0.24287471,-0.081795916,0.059339255,0.28682548,0.29416525,-0.66504604,-0.21228088,1.1669644,0.13055627,-1.1502584,0.20990446
Chrnb1,-0.06830442,-0.17429063,0.053560413,-0.20517577,-0.027484806,-0.56142604,-0.26476386,-0.56467515,-0.13916369,-0.11299446,-0.29061514,0.3803081
Chst11,0.054792613,-0.1558,0.16471624,-0.14295866,0.11401673,-0.08374412,-0.17469254,0.068195485,-0.10441537,0.18323213,0.26757047,0.35986787
Chst12,-0.4513763,-0.0053383335,0.31436974,0.34771466,-0.5233259,-0.59166014,-0.0038576536,0.6389291,0.058694735,-0.21250363,-0.12819909,-0.2516532
Chst14,0.6922183,-0.6969453,-0.14510238,0.21258068,0.6160855,-0.74286115,0.65493226,0.13492265,-0.28009918,0.8965773,0.1033823,-0.2307676
Chsy1,-0.013171131,-0.3930071,0.03616167,-0.4158054,-0.14950953,-0.5123236,-0.47414374,-0.82556206,0.26482382,0.17859776,0.26229796,0.7016608
Chuk,0.31719548,0.25581342,0.2445369,0.27302128,0.31719548,0.25581342,0.3026871,-0.016390279,0.33023965,0.19816503,-0.230733,0.44021058
Ciao1,0.44281042,-0.01868923,0.4672163,-0.13576211,0.43870607,-0.10506086,0.043746166,0.026413433,-0.47159332,-0.9731417,-0.38160008,-0.8417431
Cib1,-0.06392256,0.15655006,-0.020448128,0.35870862,0.30544183,0.759428,0.041327573,0.1365992,0.9598432,-0.26679546,0.6051839,-0.124617055
Cilp,-0.25224283,-0.1701857,-0.78031987,-0.24114303,-0.3140931,-0.16940995,0.026618017,-0.43812805,-0.7770839,0.22949247,-0.8759847,0.71605265
Cisd1,-0.23684764,-0.6961622,0.6449688,0.04857795,-0.57538325,-0.7723262,-0.6198655,-0.29633236,-0.6617097,-0.731633,-0.5601308,-0.7223996
Cisd3,0.6539543,0.31787837,0.6568629,0.38576907,0.8018652,0.052783825,0.32811412,-0.42961252,0.6616877,0.46341848,0.14898175,0.27911198
